name;v_nom;x;y;country;control;generator;carrier
AT1 0;380;13.60427444;47.54949822;AT;Slack;AT1 0 CCGT;AC
BE1 0;380;4.617460755;50.81888697;BE;PQ;;AC
CH1 0;380;8.213076122;46.83243156;CH;PQ;;AC
CZ1 0;380;15.25576613;49.83502523;CZ;PQ;;AC
DE1 0;380;8.857353599;50.0618076;DE;PQ;;AC
DE1 1;380;11.66396752;50.94962818;DE;PQ;;AC
DE1 2;380;7.178483981;51.3163777;DE;PQ;;AC
DE1 3;380;11.38125239;48.56970576;DE;PQ;;AC
DE1 4;380;8.638908024;48.55722639;DE;PQ;;AC
DE1 5;380;9.321350931;52.9822291;DE;PQ;;AC
DE1 6;380;13.40812218;52.71231914;DE;PQ;;AC
DK1 0;380;9.780571805;55.95401092;DK;PQ;;AC
DK2 0;380;12.28397443;55.50990254;DK;Slack;DK2 0 CCGT;AC
EE6 0;380;25.8791518;58.97990628;EE;Slack;EE6 0 offwind-ac;AC
ES1 0;380;-5.160633308;41.73162682;ES;PQ;;AC
ES1 1;380;-0.427311444;40.63072053;ES;PQ;;AC
ES1 2;380;-5.006450304;37.65863915;ES;PQ;;AC
ES4 0;380;2.7388916;39.6729018;ES;Slack;ES4 0 CCGT;AC
FI2 0;380;25.0536855;62.85767991;FI;PQ;;AC
FR1 0;380;6.367222099;48.3358955;FR;PQ;;AC
FR1 1;380;2.712987249;45.50734612;FR;PQ;;AC
FR1 2;380;2.634126426;49.3190993;FR;PQ;;AC
FR1 3;380;4.953855344;43.73260228;FR;PQ;;AC
FR1 4;380;-1.168513645;47.68305456;FR;PQ;;AC
FR1 5;380;5.622022276;45.48300195;FR;PQ;;AC
FR1 6;380;0.272837346;44.15008722;FR;PQ;;AC
GB0 0;380;-0.175885958;51.54171516;GB;Slack;GB0 0 CCGT;AC
GB0 1;380;-2.249654704;53.18423833;GB;PQ;;AC
GB0 2;380;-3.725189656;56.10163456;GB;PQ;;AC
GB0 3;380;-0.962768593;53.82072819;GB;PQ;;AC
GB0 4;380;-3.287456199;51.35955931;GB;PQ;;AC
GB5 0;380;-6.097540943;54.66877875;GB;Slack;GB5 0 OCGT;AC
HU1 0;380;18.86277364;47.29836191;HU;PQ;;AC
IE5 0;380;-7.631337825;52.79981394;IE;PQ;;AC
IT1 0;380;11.63804637;45.0715076;IT;PQ;;AC
IT1 1;380;13.49337764;41.8233588;IT;PQ;;AC
IT1 2;380;8.88018764;45.19082504;IT;PQ;;AC
IT1 3;380;15.67794806;38.91918475;IT;PQ;;AC
IT3 0;380;8.7459755;39.9681955;IT;Slack;IT3 0 CCGT;AC
LT6 0;380;23.00728207;55.16155858;LT;PQ;;AC
LU1 0;380;6.130510691;49.6773404;LU;PQ;;AC
LV6 0;380;23.72468009;56.83880232;LV;PQ;;AC
NL1 0;380;5.551448176;52.37428606;NL;PQ;;AC
NO2 0;380;8.623107409;60.9991011;NO;PQ;;AC
PL1 0;380;19.08127436;51.58862009;PL;PQ;;AC
PT1 0;380;-8.28212463;40.31346561;PT;PQ;;AC
SE2 0;380;17.51822784;64.09820586;SE;PQ;;AC
SE2 1;380;15.40462358;59.42929938;SE;PQ;;AC
SI1 0;380;14.54677674;46.02597355;SI;PQ;;AC
SK1 0;380;19.02788802;48.65333338;SK;PQ;;AC
AT1 0 H2;1;13.60427444;47.54949822;AT;PQ;;H2
BE1 0 H2;1;4.617460755;50.81888697;BE;PQ;;H2
CH1 0 H2;1;8.213076122;46.83243156;CH;PQ;;H2
CZ1 0 H2;1;15.25576613;49.83502523;CZ;PQ;;H2
DE1 0 H2;1;8.857353599;50.0618076;DE;PQ;;H2
DE1 1 H2;1;11.66396752;50.94962818;DE;PQ;;H2
DE1 2 H2;1;7.178483981;51.3163777;DE;PQ;;H2
DE1 3 H2;1;11.38125239;48.56970576;DE;PQ;;H2
DE1 4 H2;1;8.638908024;48.55722639;DE;PQ;;H2
DE1 5 H2;1;9.321350931;52.9822291;DE;PQ;;H2
DE1 6 H2;1;13.40812218;52.71231914;DE;PQ;;H2
DK1 0 H2;1;9.780571805;55.95401092;DK;PQ;;H2
DK2 0 H2;1;12.28397443;55.50990254;DK;PQ;;H2
EE6 0 H2;1;25.8791518;58.97990628;EE;PQ;;H2
ES1 0 H2;1;-5.160633308;41.73162682;ES;PQ;;H2
ES1 1 H2;1;-0.427311444;40.63072053;ES;PQ;;H2
ES1 2 H2;1;-5.006450304;37.65863915;ES;PQ;;H2
ES4 0 H2;1;2.7388916;39.6729018;ES;PQ;;H2
FI2 0 H2;1;25.0536855;62.85767991;FI;PQ;;H2
FR1 0 H2;1;6.367222099;48.3358955;FR;PQ;;H2
FR1 1 H2;1;2.712987249;45.50734612;FR;PQ;;H2
FR1 2 H2;1;2.634126426;49.3190993;FR;PQ;;H2
FR1 3 H2;1;4.953855344;43.73260228;FR;PQ;;H2
FR1 4 H2;1;-1.168513645;47.68305456;FR;PQ;;H2
FR1 5 H2;1;5.622022276;45.48300195;FR;PQ;;H2
FR1 6 H2;1;0.272837346;44.15008722;FR;PQ;;H2
GB0 0 H2;1;-0.175885958;51.54171516;GB;PQ;;H2
GB0 1 H2;1;-2.249654704;53.18423833;GB;PQ;;H2
GB0 2 H2;1;-3.725189656;56.10163456;GB;PQ;;H2
GB0 3 H2;1;-0.962768593;53.82072819;GB;PQ;;H2
GB0 4 H2;1;-3.287456199;51.35955931;GB;PQ;;H2
GB5 0 H2;1;-6.097540943;54.66877875;GB;PQ;;H2
HU1 0 H2;1;18.86277364;47.29836191;HU;PQ;;H2
IE5 0 H2;1;-7.631337825;52.79981394;IE;PQ;;H2
IT1 0 H2;1;11.63804637;45.0715076;IT;PQ;;H2
IT1 1 H2;1;13.49337764;41.8233588;IT;PQ;;H2
IT1 2 H2;1;8.88018764;45.19082504;IT;PQ;;H2
IT1 3 H2;1;15.67794806;38.91918475;IT;PQ;;H2
IT3 0 H2;1;8.7459755;39.9681955;IT;PQ;;H2
LT6 0 H2;1;23.00728207;55.16155858;LT;PQ;;H2
LU1 0 H2;1;6.130510691;49.6773404;LU;PQ;;H2
LV6 0 H2;1;23.72468009;56.83880232;LV;PQ;;H2
NL1 0 H2;1;5.551448176;52.37428606;NL;PQ;;H2
NO2 0 H2;1;8.623107409;60.9991011;NO;PQ;;H2
PL1 0 H2;1;19.08127436;51.58862009;PL;PQ;;H2
PT1 0 H2;1;-8.28212463;40.31346561;PT;PQ;;H2
SE2 0 H2;1;17.51822784;64.09820586;SE;PQ;;H2
SE2 1 H2;1;15.40462358;59.42929938;SE;PQ;;H2
SI1 0 H2;1;14.54677674;46.02597355;SI;PQ;;H2
SK1 0 H2;1;19.02788802;48.65333338;SK;PQ;;H2
AT1 0 battery;1;13.60427444;47.54949822;AT;PQ;;battery
BE1 0 battery;1;4.617460755;50.81888697;BE;PQ;;battery
CH1 0 battery;1;8.213076122;46.83243156;CH;PQ;;battery
CZ1 0 battery;1;15.25576613;49.83502523;CZ;PQ;;battery
DE1 0 battery;1;8.857353599;50.0618076;DE;PQ;;battery
DE1 1 battery;1;11.66396752;50.94962818;DE;PQ;;battery
DE1 2 battery;1;7.178483981;51.3163777;DE;PQ;;battery
DE1 3 battery;1;11.38125239;48.56970576;DE;PQ;;battery
DE1 4 battery;1;8.638908024;48.55722639;DE;PQ;;battery
DE1 5 battery;1;9.321350931;52.9822291;DE;PQ;;battery
DE1 6 battery;1;13.40812218;52.71231914;DE;PQ;;battery
DK1 0 battery;1;9.780571805;55.95401092;DK;PQ;;battery
DK2 0 battery;1;12.28397443;55.50990254;DK;PQ;;battery
EE6 0 battery;1;25.8791518;58.97990628;EE;PQ;;battery
ES1 0 battery;1;-5.160633308;41.73162682;ES;PQ;;battery
ES1 1 battery;1;-0.427311444;40.63072053;ES;PQ;;battery
ES1 2 battery;1;-5.006450304;37.65863915;ES;PQ;;battery
ES4 0 battery;1;2.7388916;39.6729018;ES;PQ;;battery
FI2 0 battery;1;25.0536855;62.85767991;FI;PQ;;battery
FR1 0 battery;1;6.367222099;48.3358955;FR;PQ;;battery
FR1 1 battery;1;2.712987249;45.50734612;FR;PQ;;battery
FR1 2 battery;1;2.634126426;49.3190993;FR;PQ;;battery
FR1 3 battery;1;4.953855344;43.73260228;FR;PQ;;battery
FR1 4 battery;1;-1.168513645;47.68305456;FR;PQ;;battery
FR1 5 battery;1;5.622022276;45.48300195;FR;PQ;;battery
FR1 6 battery;1;0.272837346;44.15008722;FR;PQ;;battery
GB0 0 battery;1;-0.175885958;51.54171516;GB;PQ;;battery
GB0 1 battery;1;-2.249654704;53.18423833;GB;PQ;;battery
GB0 2 battery;1;-3.725189656;56.10163456;GB;PQ;;battery
GB0 3 battery;1;-0.962768593;53.82072819;GB;PQ;;battery
GB0 4 battery;1;-3.287456199;51.35955931;GB;PQ;;battery
GB5 0 battery;1;-6.097540943;54.66877875;GB;PQ;;battery
HU1 0 battery;1;18.86277364;47.29836191;HU;PQ;;battery
IE5 0 battery;1;-7.631337825;52.79981394;IE;PQ;;battery
IT1 0 battery;1;11.63804637;45.0715076;IT;PQ;;battery
IT1 1 battery;1;13.49337764;41.8233588;IT;PQ;;battery
IT1 2 battery;1;8.88018764;45.19082504;IT;PQ;;battery
IT1 3 battery;1;15.67794806;38.91918475;IT;PQ;;battery
IT3 0 battery;1;8.7459755;39.9681955;IT;PQ;;battery
LT6 0 battery;1;23.00728207;55.16155858;LT;PQ;;battery
LU1 0 battery;1;6.130510691;49.6773404;LU;PQ;;battery
LV6 0 battery;1;23.72468009;56.83880232;LV;PQ;;battery
NL1 0 battery;1;5.551448176;52.37428606;NL;PQ;;battery
NO2 0 battery;1;8.623107409;60.9991011;NO;PQ;;battery
PL1 0 battery;1;19.08127436;51.58862009;PL;PQ;;battery
PT1 0 battery;1;-8.28212463;40.31346561;PT;PQ;;battery
SE2 0 battery;1;17.51822784;64.09820586;SE;PQ;;battery
SE2 1 battery;1;15.40462358;59.42929938;SE;PQ;;battery
SI1 0 battery;1;14.54677674;46.02597355;SI;PQ;;battery
SK1 0 battery;1;19.02788802;48.65333338;SK;PQ;;battery
