lines;wkt_srid_4326;bus0;x;y;bus1;x;y;num_parallel;length;s_nom;capital_cost;;;;name;v_nom;x;y
1;"SRID=4326;LINESTRING(13.60427444 47.54949822,8.213076122 46.83243156)";AT1 0;47.54949822;13.60427444;CH1 0;8.213076122;46.83243156;4;518.769048;6792.410447;1812.450161;"SRID=4326;LINESTRING(";13.60427444 47.54949822,8.213076122 46.83243156);"SRID=4326;LINESTRING(13.60427444 47.54949822,8.213076122 46.83243156)";AT1 0;380;13.60427444;47.54949822
2;"SRID=4326;LINESTRING(13.60427444 47.54949822,15.25576613 49.83502523)";AT1 0;47.54949822;13.60427444;CZ1 0;15.25576613;49.83502523;2.578947368;351.9382827;4379.317262;1229.584918;"SRID=4326;LINESTRING(";13.60427444 47.54949822,15.25576613 49.83502523);"SRID=4326;LINESTRING(13.60427444 47.54949822,15.25576613 49.83502523)";BE1 0;380;4.617460755;50.81888697
3;"SRID=4326;LINESTRING(13.60427444 47.54949822,11.38125239 48.56970576)";AT1 0;47.54949822;13.60427444;DE1 3;11.38125239;48.56970576;5.447368421;250.4940244;9250.190543;875.1638839;"SRID=4326;LINESTRING(";13.60427444 47.54949822,11.38125239 48.56970576);"SRID=4326;LINESTRING(13.60427444 47.54949822,11.38125239 48.56970576)";CH1 0;380;8.213076122;46.83243156
4;"SRID=4326;LINESTRING(13.60427444 47.54949822,8.638908024 48.55722639)";AT1 0;47.54949822;13.60427444;DE1 4;8.638908024;48.55722639;4;482.0173585;6792.410447;1684.048889;"SRID=4326;LINESTRING(";13.60427444 47.54949822,8.638908024 48.55722639);"SRID=4326;LINESTRING(13.60427444 47.54949822,8.638908024 48.55722639)";CZ1 0;380;15.25576613;49.83502523
5;"SRID=4326;LINESTRING(13.60427444 47.54949822,18.86277364 47.29836191)";AT1 0;47.54949822;13.60427444;HU1 0;18.86277364;47.29836191;2.578947368;495.6373341;4379.317262;1731.6337;"SRID=4326;LINESTRING(";13.60427444 47.54949822,18.86277364 47.29836191);"SRID=4326;LINESTRING(13.60427444 47.54949822,18.86277364 47.29836191)";DE1 0;380;8.857353599;50.0618076
6;"SRID=4326;LINESTRING(13.60427444 47.54949822,11.63804637 45.0715076)";AT1 0;47.54949822;13.60427444;IT1 0;11.63804637;45.0715076;0.289473684;392.733721;491.5560192;1372.114043;"SRID=4326;LINESTRING(";13.60427444 47.54949822,11.63804637 45.0715076);"SRID=4326;LINESTRING(13.60427444 47.54949822,11.63804637 45.0715076)";DE1 1;380;11.66396752;50.94962818
7;"SRID=4326;LINESTRING(13.60427444 47.54949822,14.54677674 46.02597355)";AT1 0;47.54949822;13.60427444;SI1 0;14.54677674;46.02597355;0.289473684;229.9692314;491.5560192;803.4553567;"SRID=4326;LINESTRING(";13.60427444 47.54949822,14.54677674 46.02597355);"SRID=4326;LINESTRING(13.60427444 47.54949822,14.54677674 46.02597355)";DE1 2;380;7.178483981;51.3163777
8;"SRID=4326;LINESTRING(4.617460755 50.81888697,6.367222099 48.3358955)";BE1 0;50.81888697;4.617460755;FR1 0;6.367222099;48.3358955;0.578947368;379.4152064;983.1120384;1325.582462;"SRID=4326;LINESTRING(";4.617460755 50.81888697,6.367222099 48.3358955);"SRID=4326;LINESTRING(4.617460755 50.81888697,6.367222099 48.3358955)";DE1 3;380;11.38125239;48.56970576
9;"SRID=4326;LINESTRING(4.617460755 50.81888697,2.634126426 49.3190993)";BE1 0;50.81888697;4.617460755;FR1 2;2.634126426;49.3190993;5;273.411174;8490.513059;955.2307105;"SRID=4326;LINESTRING(";4.617460755 50.81888697,2.634126426 49.3190993);"SRID=4326;LINESTRING(4.617460755 50.81888697,2.634126426 49.3190993)";DE1 4;380;8.638908024;48.55722639
10;"SRID=4326;LINESTRING(4.617460755 50.81888697,6.130510691 49.6773404)";BE1 0;50.81888697;4.617460755;LU1 0;6.130510691;49.6773404;0.578947368;207.9833583;983.1120384;726.6421788;"SRID=4326;LINESTRING(";4.617460755 50.81888697,6.130510691 49.6773404);"SRID=4326;LINESTRING(4.617460755 50.81888697,6.130510691 49.6773404)";DE1 5;380;9.321350931;52.9822291
