,snapshot,objective,generators,stores
0,2018-01-01 00:00:00,3.0,3.0,3.0
1,2018-01-01 03:00:00,3.0,3.0,3.0
2,2018-01-01 06:00:00,3.0,3.0,3.0
3,2018-01-01 09:00:00,3.0,3.0,3.0
4,2018-01-01 12:00:00,3.0,3.0,3.0
5,2018-01-01 15:00:00,3.0,3.0,3.0
6,2018-01-01 18:00:00,3.0,3.0,3.0
7,2018-01-01 21:00:00,3.0,3.0,3.0
8,2018-01-02 00:00:00,3.0,3.0,3.0
9,2018-01-02 03:00:00,3.0,3.0,3.0
10,2018-01-02 06:00:00,3.0,3.0,3.0
11,2018-01-02 09:00:00,3.0,3.0,3.0
12,2018-01-02 12:00:00,3.0,3.0,3.0
13,2018-01-02 15:00:00,3.0,3.0,3.0
14,2018-01-02 18:00:00,3.0,3.0,3.0
15,2018-01-02 21:00:00,3.0,3.0,3.0
16,2018-01-03 00:00:00,3.0,3.0,3.0
17,2018-01-03 03:00:00,3.0,3.0,3.0
18,2018-01-03 06:00:00,3.0,3.0,3.0
19,2018-01-03 09:00:00,3.0,3.0,3.0
20,2018-01-03 12:00:00,3.0,3.0,3.0
21,2018-01-03 15:00:00,3.0,3.0,3.0
22,2018-01-03 18:00:00,3.0,3.0,3.0
23,2018-01-03 21:00:00,3.0,3.0,3.0
24,2018-01-04 00:00:00,3.0,3.0,3.0
25,2018-01-04 03:00:00,3.0,3.0,3.0
26,2018-01-04 06:00:00,3.0,3.0,3.0
27,2018-01-04 09:00:00,3.0,3.0,3.0
28,2018-01-04 12:00:00,3.0,3.0,3.0
29,2018-01-04 15:00:00,3.0,3.0,3.0
30,2018-01-04 18:00:00,3.0,3.0,3.0
31,2018-01-04 21:00:00,3.0,3.0,3.0
32,2018-01-05 00:00:00,3.0,3.0,3.0
33,2018-01-05 03:00:00,3.0,3.0,3.0
34,2018-01-05 06:00:00,3.0,3.0,3.0
35,2018-01-05 09:00:00,3.0,3.0,3.0
36,2018-01-05 12:00:00,3.0,3.0,3.0
37,2018-01-05 15:00:00,3.0,3.0,3.0
38,2018-01-05 18:00:00,3.0,3.0,3.0
39,2018-01-05 21:00:00,3.0,3.0,3.0
40,2018-01-06 00:00:00,3.0,3.0,3.0
41,2018-01-06 03:00:00,3.0,3.0,3.0
42,2018-01-06 06:00:00,3.0,3.0,3.0
43,2018-01-06 09:00:00,3.0,3.0,3.0
44,2018-01-06 12:00:00,3.0,3.0,3.0
45,2018-01-06 15:00:00,3.0,3.0,3.0
46,2018-01-06 18:00:00,3.0,3.0,3.0
47,2018-01-06 21:00:00,3.0,3.0,3.0
48,2018-01-07 00:00:00,3.0,3.0,3.0
49,2018-01-07 03:00:00,3.0,3.0,3.0
50,2018-01-07 06:00:00,3.0,3.0,3.0
51,2018-01-07 09:00:00,3.0,3.0,3.0
52,2018-01-07 12:00:00,3.0,3.0,3.0
53,2018-01-07 15:00:00,3.0,3.0,3.0
54,2018-01-07 18:00:00,3.0,3.0,3.0
55,2018-01-07 21:00:00,3.0,3.0,3.0
56,2018-01-08 00:00:00,3.0,3.0,3.0
57,2018-01-08 03:00:00,3.0,3.0,3.0
58,2018-01-08 06:00:00,3.0,3.0,3.0
59,2018-01-08 09:00:00,3.0,3.0,3.0
60,2018-01-08 12:00:00,3.0,3.0,3.0
61,2018-01-08 15:00:00,3.0,3.0,3.0
62,2018-01-08 18:00:00,3.0,3.0,3.0
63,2018-01-08 21:00:00,3.0,3.0,3.0
64,2018-01-09 00:00:00,3.0,3.0,3.0
65,2018-01-09 03:00:00,3.0,3.0,3.0
66,2018-01-09 06:00:00,3.0,3.0,3.0
67,2018-01-09 09:00:00,3.0,3.0,3.0
68,2018-01-09 12:00:00,3.0,3.0,3.0
69,2018-01-09 15:00:00,3.0,3.0,3.0
70,2018-01-09 18:00:00,3.0,3.0,3.0
71,2018-01-09 21:00:00,3.0,3.0,3.0
72,2018-01-10 00:00:00,3.0,3.0,3.0
73,2018-01-10 03:00:00,3.0,3.0,3.0
