name;v_nom;x;y;wkt_srid_4326;;;;
AT0;380;13.60427444;47.54949822;"SRID=4326;POINT(13.60427444 47.54949822)";;"SRID=4326;POINT(13.60427444 47.54949822)";"SRID=4326;POINT(";13.60427444 47.54949822)
BE0;380;4.617460755;50.81888697;"SRID=4326;POINT(4.617460755 50.81888697)";;"SRID=4326;POINT(4.617460755 50.81888697)";"SRID=4326;POINT(";4.617460755 50.81888697)
CH0;380;8.213076122;46.83243156;"SRID=4326;POINT(8.213076122 46.83243156)";;"SRID=4326;POINT(8.213076122 46.83243156)";"SRID=4326;POINT(";8.213076122 46.83243156)
CZ0;380;15.25576613;49.83502523;"SRID=4326;POINT(15.25576613 49.83502523)";;"SRID=4326;POINT(15.25576613 49.83502523)";"SRID=4326;POINT(";15.25576613 49.83502523)
DE0;380;8.857353599;50.0618076;"SRID=4326;POINT(8.857353599 50.0618076)";;"SRID=4326;POINT(8.857353599 50.0618076)";"SRID=4326;POINT(";8.857353599 50.0618076)
DE1;380;11.66396752;50.94962818;"SRID=4326;POINT(11.66396752 50.94962818)";;"SRID=4326;POINT(11.66396752 50.94962818)";"SRID=4326;POINT(";11.66396752 50.94962818)
DE2;380;7.178483981;51.3163777;"SRID=4326;POINT(7.178483981 51.3163777)";;"SRID=4326;POINT(7.178483981 51.3163777)";"SRID=4326;POINT(";7.178483981 51.3163777)
DE3;380;11.38125239;48.56970576;"SRID=4326;POINT(11.38125239 48.56970576)";;"SRID=4326;POINT(11.38125239 48.56970576)";"SRID=4326;POINT(";11.38125239 48.56970576)
DE4;380;8.638908024;48.55722639;"SRID=4326;POINT(8.638908024 48.55722639)";;"SRID=4326;POINT(8.638908024 48.55722639)";"SRID=4326;POINT(";8.638908024 48.55722639)
DE5;380;9.321350931;52.9822291;"SRID=4326;POINT(9.321350931 52.9822291)";;"SRID=4326;POINT(9.321350931 52.9822291)";"SRID=4326;POINT(";9.321350931 52.9822291)
DE6;380;13.40812218;52.71231914;"SRID=4326;POINT(13.40812218 52.71231914)";;"SRID=4326;POINT(13.40812218 52.71231914)";"SRID=4326;POINT(";13.40812218 52.71231914)
DK0;380;9.780571805;55.95401092;"SRID=4326;POINT(9.780571805 55.95401092)";;"SRID=4326;POINT(9.780571805 55.95401092)";"SRID=4326;POINT(";9.780571805 55.95401092)
DK1;380;12.28397443;55.50990254;"SRID=4326;POINT(12.28397443 55.50990254)";;"SRID=4326;POINT(12.28397443 55.50990254)";"SRID=4326;POINT(";12.28397443 55.50990254)
EE0;380;25.8791518;58.97990628;"SRID=4326;POINT(25.8791518 58.97990628)";;"SRID=4326;POINT(25.8791518 58.97990628)";"SRID=4326;POINT(";25.8791518 58.97990628)
ES0;380;-5.160633308;41.73162682;"SRID=4326;POINT(-5.160633308 41.73162682)";;"SRID=4326;POINT(-5.160633308 41.73162682)";"SRID=4326;POINT(";-5.160633308 41.73162682)
ES1;380;-0.427311444;40.63072053;"SRID=4326;POINT(-0.427311444 40.63072053)";;"SRID=4326;POINT(-0.427311444 40.63072053)";"SRID=4326;POINT(";-0.427311444 40.63072053)
