name,bus,carrier,e_nom_extendable,e_cyclic,capital_cost,build_year
AT1 0 H2,AT1 0 H2,H2,True,True,11.904129877780058,0
BE1 0 H2,BE1 0 H2,H2,True,True,11.904129877780058,0
CH1 0 H2,CH1 0 H2,H2,True,True,11.904129877780058,0
CZ1 0 H2,CZ1 0 H2,H2,True,True,11.904129877780058,0
DE1 0 H2,DE1 0 H2,H2,True,True,11.904129877780058,0
DE1 1 H2,DE1 1 H2,H2,True,True,11.904129877780058,0
DE1 2 H2,DE1 2 H2,H2,True,True,11.904129877780058,0
DE1 3 H2,DE1 3 H2,H2,True,True,11.904129877780058,0
DE1 4 H2,DE1 4 H2,H2,True,True,11.904129877780058,0
DE1 5 H2,DE1 5 H2,H2,True,True,11.904129877780058,0
DE1 6 H2,DE1 6 H2,H2,True,True,11.904129877780058,0
DK1 0 H2,DK1 0 H2,H2,True,True,11.904129877780058,0
DK2 0 H2,DK2 0 H2,H2,True,True,11.904129877780058,0
EE6 0 H2,EE6 0 H2,H2,True,True,11.904129877780058,0
ES1 0 H2,ES1 0 H2,H2,True,True,11.904129877780058,0
ES1 1 H2,ES1 1 H2,H2,True,True,11.904129877780058,0
ES1 2 H2,ES1 2 H2,H2,True,True,11.904129877780058,0
ES4 0 H2,ES4 0 H2,H2,True,True,11.904129877780058,0
FI2 0 H2,FI2 0 H2,H2,True,True,11.904129877780058,0
FR1 0 H2,FR1 0 H2,H2,True,True,11.904129877780058,0
FR1 1 H2,FR1 1 H2,H2,True,True,11.904129877780058,0
FR1 2 H2,FR1 2 H2,H2,True,True,11.904129877780058,0
FR1 3 H2,FR1 3 H2,H2,True,True,11.904129877780058,0
FR1 4 H2,FR1 4 H2,H2,True,True,11.904129877780058,0
FR1 5 H2,FR1 5 H2,H2,True,True,11.904129877780058,0
FR1 6 H2,FR1 6 H2,H2,True,True,11.904129877780058,0
GB0 0 H2,GB0 0 H2,H2,True,True,11.904129877780058,0
GB0 1 H2,GB0 1 H2,H2,True,True,11.904129877780058,0
GB0 2 H2,GB0 2 H2,H2,True,True,11.904129877780058,0
GB0 3 H2,GB0 3 H2,H2,True,True,11.904129877780058,0
GB0 4 H2,GB0 4 H2,H2,True,True,11.904129877780058,0
GB5 0 H2,GB5 0 H2,H2,True,True,11.904129877780058,0
HU1 0 H2,HU1 0 H2,H2,True,True,11.904129877780058,0
IE5 0 H2,IE5 0 H2,H2,True,True,11.904129877780058,0
IT1 0 H2,IT1 0 H2,H2,True,True,11.904129877780058,0
