	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
Sc1.t1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000
Sc1.t8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.012	0.007	0.051	0.008	0.011
Sc1.t9	0.046	0.009	0.001	0.007	0.000	0.005	0.007	0.000	0.000	0.000	0.000	0.073	0.065	0.029	0.124	0.042	0.055
Sc1.t10	0.147	0.024	0.033	0.049	0.013	0.082	0.055	0.020	0.000	0.003	0.002	0.139	0.123	0.058	0.184	0.083	0.104
Sc1.t11	0.234	0.034	0.089	0.103	0.044	0.204	0.116	0.057	0.007	0.009	0.015	0.180	0.150	0.079	0.224	0.102	0.141
Sc1.t12	0.283	0.040	0.130	0.143	0.073	0.313	0.154	0.093	0.017	0.016	0.035	0.174	0.145	0.092	0.236	0.094	0.151
Sc1.t13	0.282	0.033	0.152	0.160	0.078	0.375	0.152	0.112	0.020	0.017	0.055	0.128	0.111	0.080	0.215	0.064	0.135
Sc1.t14	0.237	0.019	0.124	0.146	0.053	0.393	0.141	0.093	0.015	0.014	0.055	0.069	0.058	0.045	0.164	0.024	0.094
Sc1.t15	0.157	0.006	0.099	0.106	0.025	0.360	0.110	0.068	0.008	0.007	0.046	0.024	0.009	0.008	0.081	0.000	0.032
Sc1.t16	0.060	0.000	0.054	0.047	0.006	0.283	0.066	0.032	0.001	0.001	0.029	0.000	0.000	0.000	0.008	0.000	0.000
Sc1.t17	0.003	0.000	0.008	0.004	0.000	0.169	0.025	0.003	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t18	0.000	0.000	0.000	0.000	0.000	0.047	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t19	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t21	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t22	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t23	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t24	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t25	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t28	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t29	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t30	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t31	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.003	0.000	0.000
Sc1.t32	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.007	0.055	0.086	0.014	0.007
Sc1.t33	0.016	0.010	0.000	0.004	0.000	0.003	0.010	0.000	0.000	0.000	0.000	0.105	0.036	0.151	0.232	0.050	0.031
Sc1.t34	0.056	0.032	0.013	0.025	0.013	0.044	0.056	0.022	0.000	0.003	0.002	0.227	0.063	0.227	0.350	0.082	0.052
Sc1.t35	0.104	0.047	0.061	0.052	0.042	0.110	0.103	0.058	0.005	0.011	0.018	0.363	0.078	0.258	0.417	0.100	0.059
Sc1.t36	0.156	0.053	0.080	0.078	0.074	0.173	0.135	0.091	0.012	0.022	0.045	0.401	0.072	0.230	0.430	0.093	0.055
Sc1.t37	0.178	0.045	0.124	0.089	0.086	0.191	0.144	0.108	0.014	0.023	0.064	0.369	0.051	0.148	0.398	0.061	0.043
Sc1.t38	0.158	0.029	0.133	0.086	0.080	0.192	0.123	0.103	0.010	0.020	0.074	0.299	0.026	0.059	0.305	0.021	0.024
Sc1.t39	0.108	0.007	0.126	0.059	0.052	0.168	0.084	0.068	0.004	0.010	0.067	0.156	0.005	0.006	0.168	0.000	0.005
Sc1.t40	0.040	0.000	0.072	0.023	0.013	0.129	0.048	0.031	0.000	0.001	0.042	0.014	0.000	0.000	0.026	0.000	0.000
Sc1.t41	0.002	0.000	0.014	0.002	0.000	0.075	0.016	0.003	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t42	0.000	0.000	0.000	0.000	0.000	0.020	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t43	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t44	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t45	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t46	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t47	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t48	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t49	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t50	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t51	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t52	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t53	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t54	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc1.t55	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.000
Sc1.t56	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.020	0.027	0.123	0.013	0.139
Sc1.t57	0.038	0.014	0.001	0.004	0.001	0.002	0.005	0.000	0.000	0.000	0.000	0.191	0.083	0.080	0.284	0.059	0.309
