DE   ;    DK ;    SE  ;    CZ ;    PL   ;    AT   ;    CH  ;    FR  ;    LU  ;    NE  ;    BE ;    IT  ;    ES   ;    HU  ;    NO  ;    UK   ;    SI  ;    BALT
82429.63976;4802.312759;21446.26382;10078.56916;22432.44897;10931.76646;9022.037722;67596.786;1144.801208;15858.0765;12315.61307;40717.09018;36931.91992;6043.320131;20355.30089;50808.04161;2078.770145;3988.382046
82265.5307;4694.082107;21178.18791;10061.58524;21975.30369;10759.41592;8986.65549;64611.96951;1137.182314;15354.80552;12106.07865;38416.85962;35813.82167;5869.015281;20195.23571;47392.07337;2015.190575;3985.179286
82474.71644;4682.496256;20852.84644;10070.49709;21882.05434;10785.76869;9009.141844;64839.34397;1144.914229;15407.56534;12143.3984;38368.30653;35630.2254;5852.096511;20169.7559;46070.06697;2019.750609;4012.489726
83324.36328;4682.496256;20820.05267;10070.49709;21882.05434;10892.80537;9057.529934;64961.85883;1173.97073;15435.99361;12267.89496;38511.08176;35674.83183;5835.614255;20175.44077;45785.74275;2019.750609;4223.725035
88502.8744;4915.887228;21109.11785;10664.14565;22798.09711;11778.26941;9608.36267;71071.33102;1235.878168;16730.4034;13101.40369;40082.91247;37278.15374;6226.822447;20305.81355;45785.74275;2177.615245;4969.184802
97309.32291;5700.929057;23154.6693;11958.67412;25442.70846;13103.21016;10793.66505;79271.85219;1351.013385;18778.08335;14613.56365;47503.68754;41350.29759;7438.440733;22173.82831;48458.66548;2447.329917;5120.174621
103184.778;6269.71976;24291.33689;12842.42274;27037.0428;14139.03881;11658.26704;87679.76679;1481.061186;20635.80134;15831.86264;55136.81258;47513.30467;8091.813419;23151.38588;57959.75525;2696.363452;5056.984326
107261.138;6521.37944;24363.19924;13219.86213;27623.34118;14342.00778;12109.19248;94590.321;1551.527176;21909.62264;16766.60689;58985.86055;51509.30669;8243.810843;22633.07274;62647.85443;2801.38579;5019.011838
108892.1356;6557.279496;24011.70224;13282.66993;27856.58819;14155.7952;12256.53411;95865.13556;1567.022262;22172.30131;16935.10395;60698.25323;51925.34146;8254.375947;22334.37858;65649.05018;2813.220117;5050.036884
108845.8597;6561.838471;24010.35316;13277.0792;28150.81192;14039.00492;12230.66302;95359.36907;1568.99951;22144.34241;16932.95422;60399.68908;51181.45529;8174.346132;22452.02969;66822.89969;2796.456046;5050.221137
