	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
Sc1.t1	0.026	0.282	0.368	0.075	0.088	0.140	0.156	0.502	0.357	0.243	0.276	0.033	0.146	0.152	0.141	0.105	0.141
Sc1.t2	0.033	0.286	0.328	0.072	0.076	0.125	0.145	0.473	0.298	0.236	0.270	0.033	0.136	0.146	0.143	0.095	0.130
Sc1.t3	0.038	0.287	0.302	0.076	0.068	0.118	0.136	0.451	0.259	0.238	0.270	0.033	0.130	0.142	0.150	0.085	0.123
Sc1.t4	0.042	0.271	0.287	0.075	0.056	0.115	0.129	0.425	0.235	0.243	0.278	0.033	0.122	0.143	0.172	0.082	0.119
Sc1.t5	0.061	0.273	0.286	0.073	0.050	0.106	0.122	0.415	0.255	0.252	0.273	0.033	0.119	0.147	0.195	0.083	0.121
Sc1.t6	0.051	0.276	0.262	0.070	0.044	0.105	0.105	0.431	0.284	0.260	0.278	0.034	0.123	0.148	0.212	0.083	0.121
Sc1.t7	0.065	0.285	0.252	0.070	0.040	0.111	0.098	0.415	0.287	0.270	0.267	0.035	0.134	0.147	0.215	0.081	0.130
Sc1.t8	0.102	0.275	0.241	0.074	0.040	0.127	0.097	0.383	0.293	0.280	0.248	0.036	0.154	0.144	0.208	0.077	0.143
Sc1.t9	0.123	0.281	0.236	0.073	0.036	0.145	0.098	0.353	0.314	0.283	0.233	0.037	0.178	0.197	0.209	0.061	0.123
Sc1.t10	0.119	0.291	0.213	0.069	0.032	0.164	0.094	0.300	0.358	0.281	0.218	0.028	0.176	0.221	0.211	0.050	0.100
Sc1.t11	0.134	0.305	0.227	0.053	0.024	0.213	0.078	0.275	0.353	0.295	0.216	0.010	0.165	0.212	0.199	0.052	0.076
Sc1.t12	0.138	0.281	0.176	0.030	0.024	0.180	0.067	0.242	0.361	0.274	0.225	0.007	0.145	0.197	0.193	0.048	0.054
Sc1.t13	0.111	0.271	0.162	0.021	0.023	0.191	0.070	0.203	0.342	0.258	0.232	0.007	0.121	0.176	0.190	0.040	0.039
Sc1.t14	0.081	0.279	0.138	0.019	0.029	0.156	0.069	0.166	0.331	0.242	0.220	0.006	0.091	0.157	0.191	0.030	0.033
Sc1.t15	0.056	0.311	0.085	0.029	0.037	0.183	0.061	0.137	0.325	0.237	0.205	0.005	0.064	0.138	0.190	0.028	0.035
Sc1.t16	0.044	0.342	0.077	0.042	0.049	0.198	0.051	0.136	0.313	0.236	0.197	0.002	0.058	0.155	0.203	0.030	0.065
Sc1.t17	0.036	0.348	0.081	0.059	0.065	0.199	0.062	0.158	0.289	0.234	0.199	0.000	0.055	0.160	0.219	0.033	0.076
Sc1.t18	0.029	0.335	0.082	0.065	0.083	0.204	0.081	0.151	0.270	0.235	0.190	0.002	0.056	0.157	0.222	0.035	0.086
