	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0
t8	0.00038	0.00013	0	0	0	0	0.00004	0	0	0	0	0.01	0.012	0.007	0.051	0.008	0.011
t9	0.04556	0.00854	0.00087	0.00719	0.00048	0.00524	0.00674	0.00013	0	0.00021	0	0.073	0.065	0.029	0.124	0.042	0.055
t10	0.147	0.02391	0.03253	0.04931	0.01346	0.08205	0.05497	0.02026	0.00036	0.00316	0.00226	0.139	0.123	0.058	0.184	0.083	0.104
t11	0.23364	0.0343	0.08891	0.1033	0.0438	0.20381	0.11648	0.05689	0.00688	0.0094	0.01498	0.18	0.15	0.079	0.224	0.102	0.141
t12	0.28283	0.0402	0.12951	0.14334	0.07298	0.31339	0.15363	0.09346	0.01698	0.01574	0.03511	0.174	0.145	0.092	0.236	0.094	0.151
t13	0.28244	0.03318	0.15245	0.15982	0.07771	0.37473	0.15151	0.11224	0.02027	0.01686	0.05479	0.128	0.111	0.08	0.215	0.064	0.135
t14	0.23749	0.01866	0.12383	0.14624	0.05313	0.39313	0.14107	0.09314	0.01548	0.01375	0.05508	0.069	0.058	0.045	0.164	0.024	0.094
t15	0.15711	0.0056	0.09909	0.10638	0.02536	0.36029	0.10991	0.06845	0.00768	0.00734	0.04601	0.024	0.009	0.008	0.081	0	0.032
t16	0.06002	0.00003	0.05383	0.04703	0.00581	0.28308	0.06567	0.03191	0.00073	0.00109	0.02898	0	0	0	0.008	0	0
t17	0.00268	0	0.00822	0.00373	0	0.16946	0.02509	0.00347	0	0	0.00816	0	0	0	0	0	0
t18	0	0	0	0	0	0.047	0.00188	0	0	0	0.00046	0	0	0	0	0	0
t19	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0
t20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t31	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.003	0	0
t32	0.00028	0.00014	0	0	0	0	0.00007	0	0	0	0	0.015	0.007	0.055	0.086	0.014	0.007
t33	0.01588	0.00957	0.00017	0.0041	0.00016	0.00281	0.00952	0.00016	0	0.00015	0	0.105	0.036	0.151	0.232	0.05	0.031
t34	0.05637	0.0319	0.01251	0.02456	0.01269	0.04376	0.05557	0.02183	0.00037	0.00291	0.00249	0.227	0.063	0.227	0.35	0.082	0.052
t35	0.10421	0.04727	0.06118	0.05195	0.04189	0.11046	0.10305	0.05782	0.00477	0.01085	0.01805	0.363	0.078	0.258	0.417	0.1	0.059
t36	0.15552	0.05283	0.08012	0.07781	0.07427	0.17285	0.13505	0.09088	0.01162	0.02202	0.04474	0.401	0.072	0.23	0.43	0.093	0.055
t37	0.17812	0.04547	0.12397	0.08855	0.08561	0.19056	0.14421	0.10768	0.01368	0.02326	0.06415	0.369	0.051	0.148	0.398	0.061	0.043
t38	0.15839	0.02874	0.1334	0.08645	0.08046	0.19242	0.12295	0.10259	0.00986	0.0197	0.07408	0.299	0.026	0.059	0.305	0.021	0.024
t39	0.10795	0.00745	0.12583	0.05862	0.05248	0.16772	0.08354	0.06782	0.00388	0.00974	0.06661	0.156	0.005	0.006	0.168	0	0.005
t40	0.04017	0.00003	0.07246	0.02341	0.0125	0.1286	0.04817	0.03096	0.00031	0.001	0.04243	0.014	0	0	0.026	0	0
t41	0.00233	0	0.01369	0.00151	0.00001	0.07549	0.01566	0.00309	0	0	0.01179	0	0	0	0	0	0
t42	0	0	0	0	0	0.01985	0.00089	0	0	0	0.00078	0	0	0	0	0	0
t43	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0
t44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
