	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0
t8	0.00029	0.00016	0	0	0	0	0.00005	0	0	0	0	0.064	0.025	0.06	0.055	0.029	0.038
t9	0.03476	0.02151	0.00072	0.00438	0.00053	0.00551	0.007	0.00024	0	0.00065	0	0.287	0.113	0.157	0.169	0.1	0.143
t10	0.11892	0.06674	0.02703	0.03218	0.02404	0.0873	0.05066	0.02886	0.00268	0.01305	0.00362	0.438	0.248	0.24	0.263	0.167	0.25
t11	0.19717	0.09751	0.07039	0.06589	0.07314	0.20788	0.11658	0.08494	0.02025	0.03661	0.02772	0.52	0.345	0.269	0.322	0.213	0.331
t12	0.25424	0.11219	0.10512	0.09595	0.11223	0.31491	0.17608	0.12804	0.04135	0.05744	0.06444	0.542	0.378	0.253	0.335	0.208	0.372
t13	0.2649	0.09814	0.12213	0.11066	0.12128	0.39197	0.21728	0.14869	0.04937	0.06063	0.08861	0.506	0.328	0.194	0.306	0.153	0.352
t14	0.22636	0.0631	0.10461	0.10629	0.10539	0.41308	0.21652	0.13665	0.04064	0.04576	0.09745	0.409	0.209	0.107	0.233	0.07	0.26
t15	0.14069	0.0154	0.08172	0.0791	0.06712	0.38083	0.17564	0.10122	0.02374	0.0202	0.08023	0.244	0.057	0.021	0.123	0.005	0.11
t16	0.05612	0.00001	0.04066	0.03586	0.01543	0.2949	0.11204	0.04738	0.00354	0.00252	0.04871	0.036	0	0	0.016	0	0
t17	0.00262	0	0.00694	0.0028	0	0.17341	0.03751	0.00509	0	0	0.01292	0	0	0	0	0	0
t18	0	0	0	0	0	0.04786	0.00221	0	0	0	0.00051	0	0	0	0	0	0
t19	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0
t20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t31	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0	0
t32	0.0003	0.00014	0	0	0	0	0.00004	0	0	0	0	0.067	0.022	0.059	0.072	0.015	0.052
t33	0.0328	0.01853	0.00095	0.00677	0.0006	0.005	0.00697	0.00019	0	0.0007	0	0.292	0.091	0.151	0.206	0.06	0.182
t34	0.10581	0.06087	0.03126	0.05101	0.0242	0.0743	0.05923	0.02277	0.00286	0.01513	0.00347	0.441	0.166	0.227	0.309	0.101	0.315
t35	0.16741	0.09163	0.08992	0.10132	0.07204	0.17675	0.13315	0.07193	0.02095	0.04135	0.02501	0.521	0.217	0.235	0.366	0.113	0.404
t36	0.19953	0.10273	0.12855	0.14114	0.10673	0.26725	0.20116	0.11266	0.04212	0.06268	0.05884	0.541	0.201	0.217	0.38	0.1	0.443
t37	0.2174	0.08609	0.13929	0.15578	0.12103	0.33174	0.23254	0.12493	0.05129	0.06298	0.08519	0.504	0.152	0.184	0.348	0.067	0.416
t38	0.18582	0.05606	0.13563	0.14167	0.10824	0.35333	0.223	0.13189	0.04317	0.04674	0.09031	0.403	0.082	0.116	0.27	0.029	0.311
t39	0.13546	0.01458	0.09297	0.09933	0.06812	0.32675	0.1806	0.09602	0.02556	0.02257	0.06995	0.236	0.016	0.03	0.145	0.001	0.134
t40	0.05721	0.00003	0.04667	0.04258	0.01612	0.25451	0.11185	0.05123	0.00425	0.00276	0.04181	0.033	0	0	0.018	0	0
t41	0.00312	0	0.00751	0.00329	0.00001	0.15456	0.03667	0.0062	0	0	0.01078	0	0	0	0	0	0
t42	0	0	0	0	0	0.04519	0.00199	0	0	0	0.00041	0	0	0	0	0	0
t43	0	0	0	0	0	0.00047	0	0	0	0	0	0	0	0	0	0	0
t44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
