	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.003	0	0
t8	0.00016	0.00017	0	0	0	0	0.00005	0	0	0	0	0.062	0.046	0.108	0.102	0.017	0.085
t9	0.01604	0.01959	0.00076	0.00612	0.0004	0.00535	0.00652	0.00027	0	0.00055	0	0.268	0.192	0.264	0.266	0.05	0.256
t10	0.06623	0.06695	0.0288	0.04792	0.01025	0.05992	0.05789	0.03332	0.00257	0.0107	0.00589	0.42	0.347	0.409	0.406	0.075	0.399
t11	0.1106	0.09595	0.08321	0.08464	0.02868	0.13004	0.13423	0.07883	0.01818	0.02978	0.03765	0.507	0.395	0.473	0.481	0.089	0.464
t12	0.12665	0.10875	0.12215	0.10986	0.06125	0.19118	0.19916	0.10815	0.03704	0.0455	0.06948	0.538	0.368	0.465	0.493	0.091	0.471
t13	0.12654	0.089	0.15967	0.0996	0.07537	0.22403	0.22283	0.11258	0.04414	0.04802	0.08055	0.501	0.288	0.39	0.453	0.074	0.422
t14	0.09933	0.05196	0.17258	0.08172	0.07246	0.23207	0.21894	0.10032	0.03741	0.0358	0.06885	0.407	0.163	0.243	0.357	0.033	0.312
t15	0.05362	0.01216	0.14471	0.05359	0.04835	0.19876	0.18206	0.06991	0.02141	0.01642	0.04556	0.242	0.036	0.062	0.201	0	0.137
t16	0.02067	0.00006	0.08238	0.02141	0.01249	0.14816	0.11386	0.03513	0.00353	0.00199	0.022	0.037	0	0	0.025	0	0
t17	0.00124	0	0.01429	0.00154	0	0.08477	0.04006	0.00327	0	0	0.00364	0	0	0	0	0	0
t18	0	0	0	0	0	0.02551	0.00239	0	0	0	0.00017	0	0	0	0	0	0
t19	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0	0
t20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t31	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.006	0	0
t32	0.00012	0.00014	0	0	0	0	0.00005	0	0	0	0	0.061	0.026	0.122	0.119	0.063	0.04
t33	0.01006	0.01141	0.00104	0.00327	0.00058	0.00432	0.00567	0.00019	0	0.00053	0	0.277	0.12	0.26	0.28	0.201	0.132
t34	0.03489	0.03954	0.03401	0.02566	0.02389	0.06345	0.04319	0.02992	0.0023	0.0106	0.00209	0.437	0.266	0.368	0.411	0.325	0.219
t35	0.07006	0.05585	0.08528	0.05462	0.07818	0.1645	0.0949	0.09655	0.01781	0.02774	0.02214	0.522	0.332	0.426	0.483	0.367	0.262
t36	0.09513	0.06252	0.13782	0.06905	0.11571	0.26584	0.13572	0.1504	0.03696	0.04147	0.05265	0.542	0.359	0.433	0.496	0.341	0.254
t37	0.07769	0.05094	0.16489	0.07999	0.13429	0.32384	0.14757	0.16335	0.04577	0.04152	0.08238	0.503	0.315	0.375	0.454	0.259	0.226
t38	0.06123	0.03113	0.16116	0.06938	0.11775	0.34086	0.14703	0.12818	0.04066	0.03074	0.09821	0.404	0.21	0.247	0.356	0.128	0.146
t39	0.03765	0.00818	0.1243	0.05333	0.06755	0.30937	0.11591	0.07834	0.02203	0.01487	0.0939	0.237	0.058	0.063	0.199	0.013	0.058
t40	0.01468	0.00005	0.06188	0.02285	0.01453	0.23764	0.0811	0.03319	0.00394	0.00216	0.06224	0.035	0	0	0.026	0	0
t41	0.00067	0	0.01075	0.00161	0.00002	0.14003	0.02877	0.00174	0	0	0.01702	0	0	0	0	0	0
t42	0	0	0	0	0	0.0373	0.00195	0	0	0	0.00083	0	0	0	0	0	0
t43	0	0	0	0	0	0.00053	0	0	0	0	0	0	0	0	0	0	0
t44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
