	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t1	0.02579	0.28238	0.36775	0.07511	0.08807	0.13964	0.15595	0.50209	0.35707	0.24282	0.27621	0.03328	0.14577	0.15211	0.14125	0.10533	0.141
t2	0.03298	0.28564	0.32831	0.07171	0.07566	0.12548	0.14524	0.47259	0.29773	0.23556	0.26962	0.03343	0.13577	0.14579	0.14317	0.09521	0.1301
t3	0.03807	0.28706	0.30192	0.07582	0.06827	0.11817	0.13597	0.45073	0.25904	0.23806	0.27046	0.03262	0.13006	0.14172	0.15002	0.085	0.12329
t4	0.04207	0.2709	0.28683	0.07529	0.05632	0.11465	0.12947	0.42512	0.23531	0.24281	0.27768	0.03283	0.12227	0.14316	0.17224	0.08243	0.11926
t5	0.06055	0.27266	0.28625	0.07303	0.05011	0.10561	0.12186	0.41533	0.25486	0.25169	0.2728	0.0331	0.11928	0.14676	0.19536	0.08291	0.1205
t6	0.05115	0.27595	0.26216	0.06995	0.04413	0.1052	0.10529	0.43101	0.28413	0.26007	0.27755	0.03377	0.12321	0.14785	0.21186	0.08338	0.12127
t7	0.06513	0.28488	0.25198	0.07028	0.04037	0.11106	0.09849	0.41455	0.28748	0.26994	0.26686	0.03453	0.13413	0.14669	0.21519	0.08145	0.1301
t8	0.10192	0.27519	0.24062	0.07372	0.04015	0.12658	0.09733	0.38294	0.29251	0.2802	0.24823	0.03552	0.15407	0.14427	0.20818	0.07735	0.1429
t9	0.12267	0.28077	0.23615	0.07343	0.03578	0.14529	0.09752	0.3528	0.31367	0.28274	0.23263	0.0372	0.17785	0.19726	0.20948	0.06099	0.1226
t10	0.11891	0.29083	0.21272	0.06863	0.03152	0.16377	0.09407	0.30002	0.35807	0.28126	0.21801	0.02785	0.17618	0.22141	0.21059	0.05007	0.10024
t11	0.13433	0.30458	0.22663	0.05265	0.02427	0.21342	0.07839	0.27479	0.35349	0.29482	0.21599	0.01021	0.16501	0.2117	0.1992	0.05152	0.07569
t12	0.13784	0.2806	0.17585	0.02989	0.02388	0.18011	0.06742	0.24206	0.36138	0.27426	0.22476	0.00664	0.14504	0.19656	0.19251	0.04824	0.0542
t13	0.1114	0.27094	0.16215	0.02061	0.02273	0.19098	0.07024	0.20312	0.34226	0.2578	0.23221	0.00703	0.12053	0.17571	0.18955	0.03998	0.03894
t14	0.08115	0.27869	0.13826	0.01947	0.02922	0.15572	0.06891	0.16578	0.33094	0.24207	0.21968	0.00553	0.09133	0.15711	0.19094	0.02999	0.03317
t15	0.05618	0.31058	0.08452	0.02893	0.03733	0.18319	0.06103	0.13739	0.32507	0.23724	0.20523	0.00483	0.06428	0.13806	0.19035	0.02831	0.03514
t16	0.04431	0.3417	0.07659	0.04203	0.04888	0.1984	0.0513	0.13565	0.31306	0.23576	0.19726	0.0018	0.05842	0.15531	0.20328	0.03032	0.06523
t17	0.03632	0.34794	0.08082	0.05881	0.06542	0.19874	0.06163	0.15768	0.2887	0.23368	0.1988	0.00006	0.05458	0.15989	0.21861	0.0333	0.07569
