DK;SE;CZ;PL;AT;CH;FR;LU;NE;BE;unit:MWh
3616.989423;16232.59727;7215.01539;16579.82647;7934.365112;6797.765281;52429.95772;859.726808;11833.87165;9213.007529;
3533.435566;16022.07662;7149.690201;16222.00661;7710.872623;6694.538014;50276.06494;852.2533712;11464.06768;8971.885206;
3524.739278;15777.89935;7127.023749;16144.2034;7726.51288;6688.266755;49993.56661;856.9997058;11422.71273;8956.520164;
3524.739278;15753.28677;7127.023749;16144.2034;7726.51288;6686.692174;50389.91163;875.3095971;11428.82096;8997.634005;
3698.760621;15970.23774;7531.395444;16883.94963;8552.417444;6943.976208;53260.17331;906.9672395;11814.9609;9482.731596;
4246.736003;17505.91118;8748.782111;18907.04731;9785.448449;7983.735237;58753.72625;1004.519372;13391.28912;10696.09208;
4659.872715;18346.53387;9601.777715;19987.52209;10594.00454;8732.698864;65907.99727;1111.662252;15297.68819;11868.35742;
4863.515324;18400.46844;9914.216397;20416.1242;10746.35952;9071.120481;71095.25816;1163.264047;16253.76205;12570.02666;
4917.524723;18169.12629;10003.7277;20640.44864;10606.58243;9181.701053;71785.36337;1174.895931;16573.73586;12696.50961;
4932.399484;18250.99358;10035.87775;20862.71799;10508.27767;9179.168915;71795.45322;1177.318917;16656.08047;12705.01549;
4936.987437;18180.58194;10006.13219;20947.01521;10439.10443;9141.111965;71760.01979;1173.148102;16626.40544;12683.86418;
4936.987437;18167.54275;9946.751287;20945.61766;10372.31315;9089.676267;71439.40464;1167.100693;16626.40544;12683.86418;
4949.097625;18185.75053;9940.418716;20966.8764;10365.71017;9049.686159;71394.38515;1160.926597;16595.58424;12675.84677;
4963.271611;18185.75053;9916.34333;20966.8764;10340.60673;9049.686159;71394.38515;1166.35699;16542.25879;12675.84677;
4963.271611;18185.75053;9907.212577;20931.79571;10356.18952;9041.317563;71329.47284;1176.825465;16527.19805;12726.84343;
4978.947606;18237.05371;10005.46192;20968.64968;10356.18952;9110.383512;71329.47284;1186.593931;16600.89942;12805.81131;
4973.071241;18207.58063;10018.77764;21073.15861;10613.25725;9186.399086;72522.67118;1184.853732;16967.15778;13020.35244;
4979.927325;18207.58063;10064.90483;21055.28377;10597.5667;9208.585743;72840.32655;1184.853732;17004.89486;13002.13819;
4979.927325;18258.27355;10057.66676;21055.28377;10564.34963;9110.011855;72693.93975;1181.072454;17004.89486;12976.06852;
4856.822608;17959.29635;9798.327583;21126.2791;10310.86254;8822.318705;71074.2318;1150.729526;16848.24983;12670.0038;
4463.947894;17724.61052;8968.910326;21485.10702;9855.045537;8108.30707;68217.81042;1045.837867;16114.75092;12115.79436;
4190.650615;17251.85984;8424.415478;20812.96078;9554.741328;7666.072285;65499.00845;995.3990168;15419.06216;11634.99644;
3931.174984;16655.89321;7934.968432;19803.07582;9057.027118;7375.722509;61998.71884;949.0801801;14317.61813;11080.25366;
3746.378193;16369.17521;7518.479813;17909.4092;8055.736169;6907.664783;54171.85291;902.2610145;12478.26184;9659.912762;
3638.229921;16205.98516;7430.285911;17037.68196;7952.886603;6885.891729;53611.91517;884.4825458;11908.71187;9373.171945;
3559.751926;16022.07662;7383.281282;16779.79695;7732.846465;6832.177828;51469.01837;881.1702141;11608.30956;9147.215913;
3551.055638;16001.51414;7304.476495;16669.16287;7748.486721;6823.185895;51134.12909;882.3403262;11566.95461;9115.473371;
3551.055638;16006.10189;7304.476495;16635.34798;7748.486721;6823.185895;51134.12909;889.820525;11566.95461;9115.473371;
3731.384197;16064.45547;7723.167833;17799.16689;8529.497387;7110.61248;53684.13597;923.9917181;11967.73644;9604.56783;
4501.161618;17759.98215;9145.420175;20195.52273;9780.439257;8020.627602;60499.13051;1033.843726;13700.98812;10799.91095;
4887.165619;18492.88482;9827.37828;20670.15909;10533.30413;8744.523328;66477.34614;1130.545525;15354.10794;11998.63349;
4941.748024;18400.46844;10043.5105;20816.7479;10557.49932;9082.944946;72308.22336;1168.224685;16321.86576;12690.42365;
5002.012702;18169.12629;10123.19913;20751.66579;10549.48626;9181.701053;73364.43203;1180.203799;16573.73586;12788.82447;
5016.924526;18250.99358;10071.25019;20876.89048;10478.88651;9196.007139;71966.60984;1184.817205;16656.08047;12797.33035;
4990.292159;18231.88513;10031.30795;20900.36009;10439.10443;9186.307073;72018.9973;1179.433279;16666.11664;12773.77282;
4979.279706;18167.54275;10016.27375;20933.40174;10428.52981;9176.043208;71847.84068;1176.170189;16626.40544;12719.04533;
4963.271611;18161.63832;9999.799614;20929.78874;10421.92683;9147.300233;71394.38515;1174.171647;16615.96016;12706.32763;
4963.271611;18161.63832;9999.799614;20917.90502;10421.92683;9150.501715;71205.14097;1172.4044;16615.96016;12675.84677;
4976.142069;18185.75053;10009.94118;20917.90502;10432.50145;9147.300233;71329.47284;1174.171647;16640.61062;12664.28669;
4989.960059;18236.28647;10030.63768;20904.4817;10478.80954;9167.037743;71329.47284;1176.091472;16640.61062;12664.28669;
5005.011843;18280.78455;10051.19246;21070.48495;10661.31511;9208.585743;71898.94766;1177.96171;17006.86898;12860.61357;
5013.019304;18282.40341;10078.57291;21118.06795;10661.31511;9208.585743;71898.94766;1177.96171;17004.89486;12860.61357;
5010.252292;18281.281;10057.66676;21098.87346;10666.75226;9110.011855;71223.39647;1181.072454;17004.89486;12834.5439;
4880.25004;18003.53934;9764.587005;21137.38845;10255.198;8822.318705;69077.54688;1152.8551;16727.63077;12450.5331;
4458.855207;17768.85547;8968.910326;21511.86888;9787.039158;8108.30707;66077.93638;1057.395541;15900.43446;11772.61827;
4197.861231;17251.25546;8424.415478;20812.96078;9390.260019;7691.108612;62451.34871;993.3366696;15269.62687;11175.08191;
3937.622648;16643.76254;7897.752025;19776.12609;8902.148557;7377.041801;59424.49142;939.1082193;14203.91983;10574.96239;
3754.572917;16556.84833;7474.642454;18041.5632;8055.736169;6914.089847;53080.53618;884.6762737;12436.3046;9554.630351;
3646.424402;16284.25072;7330.015439;17099.50847;7946.738258;6885.891729;51542.73306;861.6021893;11833.87165;9152.21776;
3580.353582;16048.68874;7286.5452;16810.2749;7748.439;6723.843887;49643.61602;846.9407639;11445.25027;8891.108608;
3571.657294;16028.12626;7302.269347;16701.20103;7851.686243;6688.266755;49284.81756;846.5898921;11404.30119;8845.777963;
3575.855115;16032.71401;7358.209358;16701.99374;7868.188047;6617.255019;49284.81756;852.5024665;11356.67973;8845.777963;
3760.862822;16423.96238;7793.552485;17753.03986;8544.687627;6754.604363;51262.64174;881.6741841;11755.40952;9293.884438;
4533.039311;18134.70047;9204.197737;20195.52273;9767.184037;7344.166849;56443.35332;957.1892434;13080.25321;10299.86576;
4918.927735;18662.64549;9846.467528;20687.14041;10566.84243;8334.384549;64382.78547;1078.674175;15089.23563;11702.04786;
4982.299816;18440.06873;10068.45693;20830.69357;10736.51458;8702.518876;68629.47214;1147.390377;16039.52676;12301.46583;
5030.321662;18231.59079;10123.19913;20739.08788;10700.45578;8790.286748;69417.55107;1154.159527;16534.02466;12548.6037;
5060.911431;18309.89659;10167.70134;20881.21829;10652.66269;8712.418302;69562.52445;1161.420048;16595.99335;12603.94801;
5065.315535;18297.29694;10107.33128;20923.22486;10605.36733;8719.556461;68597.83115;1161.6703;16531.64143;12580.60232;
5030.302155;18284.25775;10066.68039;20908.00077;10516.39849;8908.676626;68130.43036;1152.998662;16531.64143;12510.67988;
5017.374641;18298.44093;10068.53075;20924.56054;10496.9549;9027.620381;68223.30317;1152.25496;16542.25879;12456.73369;
5009.783158;18298.44093;10068.53075;20924.56054;10518.32787;9049.686159;68342.73705;1152.25496;16521.19616;12456.73369;
5010.783359;18298.44093;10068.53075;20924.56054;10509.79551;9077.891494;68487.89936;1151.182636;16462.22759;12445.17362;
5020.361102;18309.73372;10079.6782;20956.52998;10478.80954;9081.130863;69299.73352;1151.182636;16383.36041;12443.97861;
5013.019304;18354.22984;10041.84222;21122.53093;10620.75615;9114.165032;69896.11227;1156.878423;16662.26419;12478.76974;
5013.019304;18334.64652;10041.97804;21118.06795;10620.75615;9123.460064;70082.62757;1156.589218;16660.29008;12592.51878;
5002.660809;18300.86432;10031.29318;21098.87346;10531.15924;9080.948643;70342.93453;1153.815186;16660.29008;12566.44911;
4880.25004;18023.12266;9761.11659;21137.38845;10219.58153;8802.43145;69083.0956;1132.909214;16434.60622;12279.73259;
4458.855207;17788.43682;8944.20503;21511.86888;9739.808458;8095.460549;66187.41337;1040.161037;15734.79227;11760.88;
4197.861231;17261.65346;8398.973974;20812.96078;9340.693543;7666.416879;62911.06667;985.9367477;14999.72674;11269.64599;
3948.643636;16689.33594;7883.213882;19795.32746;8846.109437;7375.722509;60491.53863;939.1082193;13948.7655;10663.8592;
3777.566571;16608.50276;7432.5467;17805.34015;7903.938451;6852.627079;53991.33065;892.258538;12499.12155;9587.784102;
3680.352726;16323.60868;7247.987773;16900.16001;7780.694976;6873.657721;52429.95772;876.3726156;11853.71021;9239.923923;
3609.329668;16178.72549;7149.690201;16512.91151;7569.418615;6814.066317;50276.06494;868.3030839;11470.17591;9029.376547;
3600.63338;16158.16301;7124.618277;16311.2949;7585.058872;6817.45453;49993.56661;872.3472125;11428.82096;8996.152391;
3607.358525;16162.75077;7124.618277;16321.20946;7585.058872;6823.185895;49993.56661;875.3095971;11482.38506;8996.152391;
3809.860242;16506.94619;7528.988988;17133.50206;8359.796502;7072.5208;51971.39079;906.891066;11847.17501;9478.409497;
4566.019615;18119.25359;8749.429738;19368.15955;9582.213377;8016.180348;56800.28005;998.0578056;13391.28912;10542.92888;
4918.927735;18619.34438;9573.535076;20389.86408;10311.32538;8732.698864;64382.78547;1106.664626;15262.45934;11868.35742;
5008.173376;18415.71517;9914.216397;20691.30556;10539.00092;9054.86049;67134.16604;1160.137352;16178.82036;12508.82942;
5037.490827;18231.59079;9988.6935;20731.80689;10549.48626;9120.936044;67673.74915;1160.601097;16534.02466;12666.02874;
5052.552851;18309.89659;9951.321093;20969.37594;10455.69706;9102.955786;67584.50785;1152.748411;16616.36927;12634.48495;
5041.875911;18296.85151;9922.675901;20988.41464;10419.30575;9041.815511;67582.65361;1152.998662;16626.40544;12627.6476;
5021.512479;18284.25775;9922.675901;20973.19056;10404.69176;9012.822661;66043.58051;1150.171229;16626.40544;12510.67988;
5009.783158;18298.44093;9895.130101;20848.34618;10365.71017;8902.248404;65950.58176;1137.561921;16595.58424;12276.84164;
5009.783158;18298.44093;9916.34333;20994.44929;10365.71017;8868.472725;65950.58176;1123.666796;16595.58424;12050.62455;
5017.374641;18298.44093;9907.212577;20973.19514;10421.92683;8822.927609;65885.66945;1115.568829;16419.6575;12000.38053;
5027.952585;18329.71537;9931.287962;20968.64968;10463.119;8781.229865;65933.64872;1115.568829;16268.72376;12003.58799;
5029.400463;18373.76606;9962.86716;21039.67021;10620.75615;8781.337212;66459.77636;1108.515098;16290.63708;12083.32596;
5042.110478;18373.76606;10006.11742;21055.28377;10637.30671;8764.934692;67771.89779;1110.412383;16192.61482;12128.55443;
5031.751984;18315.66562;10016.25899;21055.28377;10545.85226;8731.318682;67792.09149;1114.429464;16192.61482;12262.67721;
4910.549161;18025.38514;9735.396547;21136.19481;10207.9673;8598.159048;67058.76505;1110.492718;16089.28712;12150.74748;
4472.60395;17790.6993;8949.411636;21510.67524;9739.808458;8097.553374;65813.3122;1034.852013;15500.98792;11718.50262;
4209.516427;17280.46561;8415.386101;20857.31568;9340.693543;7596.415473;62223.83727;978.8463744;14738.81078;11269.64599;
3948.643636;16704.40018;7900.775105;19802.09295;8847.610861;7228.693847;59511.27673;924.3722386;13948.7655;10684.17812;
