"AT"	"Balt"	"BE"	"DE"	"DK"	"Es"	"Fr"	"Nl"	"No"	"Se"	"Uk"
0	0	0	0	0	0	0	0.00037925068	0.0455573	0.14700341	0.23364194
0.28283194	0.28243673	0.2374895	0.1571049	0.06001628	0.0026810148	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.00027661902	0.015875041
0.056373794	0.10421398	0.1555154	0.17811933	0.15839443	0.10794928	0.040169973	0.002333325	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0.00036677244	0.03844173	0.110111415	0.1598245	0.18207397	0.18088596	0.15504941	0.09513465	0.036009353	0.0018833592	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0.0002593071	0.0191263	0.059526224	0.086671904	0.10598431	0.119186416	0.10856678	0.07632497	0.030811923
0.0019554582	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.00028902898	0.019256653	0.055033192	0.09779237	0.11588982	0.113127775	0.09618819
0.061578687	0.028081922	0.001970684	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0002429892	0.01518714	0.046733815	0.07517147	0.11862628
0.1232651	0.098710306	0.062983714	0.027033927	0.0026466253	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.00021535094	0.014988454	0.04687065
0.08582365	0.098820195	0.1166275	0.110941425	0.084940046	0.039111126	0.0032148191	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.00026337642
0.025084326	0.07930974	0.12786593	0.15668097	0.1563727	0.14545152	0.10159083	0.043328203	0.0036635478	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0.00028737588	0.022381816	0.06550701	0.1092919	0.13308902	0.15395686	0.13244869	0.0988858	0.052344557	0.005511314
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.00038797362	0.024519622	0.079025805	0.10804791	0.13957407	0.1553252	0.13881215	0.10304402
0.04960116	0.0046020085	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.00049260753	0.030620098	0.090423144	0.15888134	0.21958107	0.25142854
0.2407866	0.17750302	0.08082852	0.0075799227	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.0006307861	0.040135793	0.11844659	0.18686932
0.21119818	0.20539744	0.16079868	0.12924635	0.058793403	0.007394983	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.000493539	0.03261283
0.092332445	0.15569131	0.19279452	0.19610415	0.17951052	0.13173254	0.06447127	0.0070581255	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0.00024126336	0.017396716	0.053611804	0.10954241	0.15502772	0.1817793	0.17140903	0.1183006	0.05690512	0.0069733653	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0.00062989007	0.03994459	0.11523407	0.19033256	0.24844806	0.27513054	0.2471528	0.18276621	0.08753892
0.010707706	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.0005941595	0.029418748	0.07587583	0.12821135	0.16365391	0.16836028	0.14053397
0.09058786	0.036518924	0.005024209	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.00042044182	0.020605993	0.05735868	0.09396574	0.115323335
0.1326719	0.12992221	0.095575355	0.05206006	0.00848365	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.000875211	0.03621024	0.09991108
0.15684351	0.18642311	0.19495136	0.16995814	0.1224327	0.059557963	0.010950886	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.0013929881
0.056097005	0.159218	0.25211832	0.3073898	0.32704592	0.29338694	0.20880002	0.10126471	0.014161211	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0.0010580535	0.03541917	0.099556275	0.14939374	0.20922439	0.20263414	0.1787902	0.13664086	0.06987028	0.010786088
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.0006699181	0.023637274	0.06542642	0.099975236	0.13021226	0.15011933	0.15220352	0.11599885
0.053615432	0.009691164	2.3659593e-05	0	0	0	0	0	0	0	0
0	0	0	0	0	0.0012924296	0.035339173	0.095635936	0.1561402	0.1972308	0.19547133
0.18617462	0.13301148	0.06958176	0.0122767035	3.264124e-05	0	0	0	0	0	0
0	0	0	0	0	0	0	0.0017491266	0.049160697	0.13287294	0.22303297
0.28028384	0.30357352	0.2634497	0.20486788	0.11396771	0.02215349	8.610619e-05	0	0	0	0
0	0	0	0	0	0	0	0	0	0.001436595	0.041174192
0.11245629	0.17645344	0.221214	0.22422343	0.1866508	0.13259801	0.07272284	0.015132719	7.831576e-05	0	0
0	0	0	0	0	0	0	0	0	0	0
0.0026738618	0.05781118	0.15158498	0.24419701	0.27996567	0.2976111	0.25695968	0.18916897	0.10900479	0.024023194	0.00016764265
0	0	0	0	0	0	0	0	0	0	0
0	0	0.003447737	0.07462999	0.19148748	0.29977813	0.37465516	0.40504935	0.3669694	0.28062052	0.15565215
0.03336648	0.00028005958	0	0	0	0	0	0	0	0	0
0	0	0	0	0.0034200451	0.056227293	0.12978564	0.19227122	0.24644034	0.28215206	0.25475207
0.20059414	0.103774294	0.02342332	0.00026601943	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0018498768	0.028638832	0.07137501	0.11475948	0.15374088
0.19060718	0.1735092	0.13507842	0.080433644	0.020047178	0.00040468472	0	0	0	0	0
0	0	0	0	0	0	0	0	0.0044521927	0.05981083	0.12500498
0.14339799	0.16395995	0.16574863	0.1575486	0.11251773	0.063947	0.016359054	0.00022070894	0	0	0
0	0	0	0	0	0	0	0	0	0	0.0029117689
0.0535231	0.12935862	0.18772888	0.21968408	0.24406256	0.2405045	0.19564793	0.09970161	0.02504285	0.00042474052	0
0	0	0	0	0	0	0	0	0	0	0
0	0.004175766	0.062133364	0.15170865	0.22626434	0.2917303	0.2915961	0.2523479	0.18523711	0.104701206	0.027333584
0.00043424053	0	0	0	0	0	0	0	0	0	0
0	0	0	0.0042839143	0.06013618	0.13618675	0.22021446	0.26814216	0.27537933	0.25084087	0.20086466
0.12161981	0.032468043	0.00037531042	0	0	0	0	0	0	0	0
0	0	0	0	0	0.003846851	0.051717732	0.1320247	0.20449676	0.25848266	0.27894112
