"AT"	"Balt"	"BE"	"DE"	"DK"	"Es"	"Fr"	"Nl"	"No"	"Se"	"Uk"
0	0	0	0	0	0	0	0.00028936597	0.034759812	0.11891799	0.1971682
0.25424418	0.2649012	0.22635932	0.14069343	0.056123096	0.0026237885	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.00030414952	0.032796957
0.105812274	0.16741271	0.19952759	0.21739519	0.18581714	0.13546227	0.057205223	0.003116279	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0.0003232108	0.036727905	0.11886632	0.20400155	0.25052866	0.2554032	0.2391783	0.16100149	0.068786755	0.0036082084	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0.00037024554	0.043368503	0.14750646	0.22041093	0.29014343	0.3003345	0.2668352	0.18385334	0.07570985
0.004099417	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.0003762745	0.043767825	0.14159316	0.22828239	0.28476664	0.30233476	0.26100513
0.18185489	0.07601865	0.004531339	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0003783397	0.04544142	0.14558251	0.23426598	0.29580513
0.30339995	0.26672173	0.18321872	0.07748102	0.0050204694	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.0004113432	0.04141589	0.12743858
0.20436297	0.24831244	0.26362166	0.23421456	0.15848373	0.06957444	0.005007659	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.00038122127
0.038404964	0.12723313	0.20632558	0.26805282	0.28840873	0.25929654	0.17860462	0.079103015	0.00583691	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0.0003323948	0.034985375	0.10806389	0.19762778	0.25474176	0.25715736	0.22867979	0.15190746	0.062088028	0.005175849
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.0004301061	0.037176054	0.11666481	0.18356355	0.24970667	0.25404602	0.22197391	0.1562838
0.070216134	0.0057720877	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.00048737464	0.043017544	0.13564326	0.22104473	0.2765708	0.29912385
0.26835713	0.18959594	0.086369105	0.007548224	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.0005662518	0.045851618	0.14578521	0.23386794
0.3011444	0.32164598	0.28537682	0.20337561	0.091113806	0.008578673	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.0005748894	0.043115105
0.13714005	0.22248684	0.27412724	0.2915514	0.24836653	0.17846331	0.08196293	0.007848001	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0.0006427229	0.03839	0.10234549	0.15496927	0.18784761	0.19300157	0.16277929	0.114535086	0.054180756	0.0056842915	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0.00057925325	0.0388503	0.1252769	0.19810683	0.23710206	0.27015147	0.22224842	0.15555348	0.07341801
0.008455708	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.0009111935	0.05115855	0.14803807	0.24156293	0.2980456	0.31885764	0.28597438
0.20392513	0.09774764	0.012421813	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0009800359	0.054327928	0.16837934	0.2678506	0.33083126
0.3378138	0.2967213	0.21585	0.1072429	0.014272054	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.0012074449	0.061737545	0.17821155
0.27552924	0.33907148	0.35714352	0.3185469	0.22935453	0.11448695	0.015576365	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.0013229235
0.06342309	0.18164544	0.28397158	0.34639305	0.36140457	0.32129005	0.23276389	0.117192045	0.01692732	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0.001361964	0.054304715	0.15187557	0.2522116	0.3355149	0.35896668	0.32195297	0.23554623	0.11916213	0.01802828
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.00160573	0.063425764	0.1779108	0.2793399	0.34135997	0.3533369	0.31804562	0.23280463
0.11908766	0.019029882	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.0018621729	0.06471637	0.18161604	0.2759247	0.33650205	0.35545182
0.3198152	0.23699972	0.12468702	0.020898763	1.2333344e-05	0	0	0	0	0	0
0	0	0	0	0	0	0	0.0016860499	0.05642955	0.1557282	0.2372487
0.30022427	0.3166585	0.30077383	0.22724746	0.123926915	0.022673927	3.362607e-05	0	0	0	0
0	0	0	0	0	0	0	0	0	0.0024404586	0.07276178
0.1905258	0.2884406	0.35975954	0.37723696	0.33843383	0.2516218	0.13295284	0.024659643	8.313351e-05	0	0
0	0	0	0	0	0	0	0	0	0	0
