"AT"	"Balt"	"BE"	"DE"	"DK"	"Es"	"Fr"	"Nl"	"No"	"Se"	"Uk"
0	0	0	0	0	0	0	0.00016313352	0.016040381	0.06622496	0.11060073
0.12665322	0.12654415	0.099326275	0.053623736	0.020670965	0.0012418365	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.000120003315	0.010059779
0.034893144	0.07005655	0.095132835	0.07768635	0.06122558	0.037646864	0.014680809	0.0006682532	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0.00026053263	0.033890363	0.11610778	0.1962558	0.2545299	0.26818627	0.23488584	0.15907788	0.06436753	0.0029222623	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0.0003464899	0.04372256	0.13954204	0.22799656	0.2847576	0.3024154	0.26286572	0.17472291	0.07088766
0.0036383283	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.00035364527	0.036580767	0.11630604	0.17828329	0.2194313	0.24645121	0.20964967
0.15082544	0.064467795	0.0039816964	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.00035426344	0.036039438	0.11616715	0.18934426	0.2456446
0.2428226	0.20555131	0.13432476	0.058782876	0.0038747638	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.00029743093	0.028835775	0.09897029
0.16394983	0.22152954	0.23769249	0.21972387	0.16227359	0.06766635	0.0048168423	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.00043248682
0.041468907	0.12603718	0.18977956	0.2451445	0.24924386	0.2291432	0.16243047	0.06945506	0.005856286	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0.0003653209	0.04258855	0.13688834	0.23044616	0.2778167	0.30096272	0.26894975	0.18741003	0.08283869	0.006576792
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.00034934873	0.028666446	0.092956044	0.15141624	0.2056462	0.1992355	0.17643619	0.1198812
0.051864333	0.004095042	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.00044609496	0.03810479	0.117326014	0.18874855	0.22417702	0.21875644
0.17537202	0.11714439	0.05382361	0.0042491113	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.000105866086	0.01003738	0.044392206	0.09716601
0.16260041	0.19926329	0.18310297	0.14497015	0.07455637	0.007958053	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.0004670871	0.028375588
0.07239756	0.1257805	0.15860546	0.15011948	0.09825956	0.05975549	0.022302909	0.0028736126	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0.0005229011	0.04740697	0.14486255	0.22622418	0.295846	0.31457597	0.282432	0.20479529	0.097766146	0.010680982	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0.00075026264	0.04697608	0.14466839	0.23595762	0.29925612	0.30704087	0.25992614	0.18998082	0.0934416
0.011319137	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.0009641812	0.058393463	0.17616305	0.2773247	0.34150103	0.35048482	0.30124146
0.20696484	0.09317588	0.01207118	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.000866452	0.049310964	0.13872613	0.22767478	0.28208518
0.30535477	0.27963862	0.19515939	0.09631981	0.012894755	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.00094032683	0.05146987	0.14987253
0.24073747	0.30910057	0.319077	0.28604138	0.20667009	0.099768795	0.013747641	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.0011871555
0.049281687	0.13430364	0.20684025	0.25473318	0.26671275	0.24182646	0.19041076	0.1013309	0.015591519	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0.0010092093	0.03861735	0.10895569	0.17156163	0.22093564	0.23764963	0.20901337	0.15659286	0.088001415	0.014668008
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.001417404	0.056000113	0.1639861	0.24674119	0.31671914	0.32127163	0.2926328	0.21787733
0.111528225	0.018782875	2.3755041e-05	0	0	0	0	0	0	0	0
0	0	0	0	0	0.0015901345	0.05365034	0.15134771	0.22916912	0.2586648	0.24830453
0.20927943	0.14652474	0.069476455	0.011740092	2.9766985e-05	0	0	0	0	0	0
0	0	0	0	0	0	0	0.0013604774	0.042290606	0.11546556	0.19880542
0.25442818	0.2811103	0.26048392	0.18154787	0.09774724	0.018577656	4.579519e-05	0	0	0	0
0	0	0	0	0	0	0	0	0	0.0024200971	0.06387402
0.15735106	0.20432062	0.21775162	0.1923399	0.15155977	0.10532684	0.05733762	0.01237242	4.433169e-05	0	0
0	0	0	0	0	0	0	0	0	0	0
0.0021673145	0.05237028	0.14274867	0.18658662	0.21734224	0.1954878	0.15830599	0.12217572	0.066819474	0.015219076	9.389719e-05
0	0	0	0	0	0	0	0	0	0	0
0	0	0.002316861	0.04445161	0.10786166	0.1652846	0.18416603	0.20044945	0.1863196	0.13800539	0.06396062
0.015161906	0.00011602164	0	0	0	0	0	0	0	0	0
0	0	0	0	0.0028211975	0.055334527	0.1438703	0.21248446	0.27879882	0.3009926	0.26275706
0.20139082	0.11615067	0.02454801	0.00017262308	0	0	0	0	0	0	0
0	0	0	0	0	0	0.003460811	0.057077415	0.15997785	0.2247095	0.26452336
0.27888486	0.25378886	0.1980433	0.11786036	0.026819617	0.00026573907	0	0	0	0	0
0	0	0	0	0	0	0	0	0.0040626507	0.06617543	0.16658099
0.25094488	0.27486277	0.26592383	0.2467444	0.18583588	0.111069165	0.028162582	0.00034833915	0	0	0
0	0	0	0	0	0	0	0	0	0	0.004165113
0.06640982	0.14181	0.22250843	0.27641726	0.2574067	0.21786723	0.16511402	0.0913325	0.024075165	0.00042442218	0
0	0	0	0	0	0	0	0	0	0	0
0	0.0058787945	0.07543918	0.16424662	0.2153308	0.2524466	0.25555873	0.22685	0.19119549	0.113909304	0.030408468
0.00052964635	0	0	0	0	0	0	0	0	0	0
0	0	0	0.0042950916	0.057783533	0.13708837	0.20119788	0.22487283	0.23382325	0.21837103	0.16064721
0.084311776	0.024421219	0.00036332756	0	0	0	0	0	0	0	0
0	0	0	0	0	0.005709168	0.07300922	0.17112766	0.27199262	0.31889048	0.32346395
0.29973823	0.25641927	0.14950483	0.0416946	0.00048578807	0	0	0	0	0	0
0	0	0	0	0	0	0	0.005884789	0.07430027	0.18234716	0.28786525
0.34420127	0.3654855	0.3207392	0.23909229	0.13473305	0.039367337	0.00059691543	0	0	0	0
0	0	0	0	0	0	0	0	0	0.00607526	0.06941787
0.14855318	0.24051364	0.293777	0.32189992	0.28830907	0.22720365	0.13936412	0.04290512	0.00067337777	0	0
0	0	0	0	0	0	0	0	0	0	0
