"AT"	"Balt"	"BE"	"DE"	"DK"	"Es"	"Fr"	"Nl"	"No"	"Se"	"Uk"
0.025788179	0.032983415	0.03807334	0.042064864	0.06055446	0.05115261	0.065128714	0.10191497	0.12267147	0.11891173	0.13433349
0.13784276	0.11140408	0.08114686	0.05617908	0.044312924	0.03632335	0.029090296	0.019681321	0.016546933	0.024611913	0.04635021
0.0690742	0.07630847	0.085475996	0.09262653	0.094407834	0.08323969	0.0860592	0.08562955	0.074842475	0.06699028	0.0640827
0.057167504	0.040531587	0.034066483	0.02772988	0.027852498	0.030166345	0.031644963	0.037112024	0.04075978	0.047105137	0.06953407
0.08215221	0.09958461	0.15098958	0.1931106	0.22410494	0.25631636	0.26404375	0.3053396	0.3415293	0.37281328	0.3736901
0.3680682	0.36963883	0.38045272	0.28765577	0.26696533	0.21805431	0.1785345	0.18726213	0.17003986	0.18294622	0.20582879
0.18242955	0.17896847	0.21664622	0.2077035	0.12246252	0.13236755	0.18376726	0.2044202	0.20444188	0.19981433	0.20852968
0.23119368	0.2526851	0.26542494	0.268353	0.2891691	0.20569539	0.2272388	0.19341835	0.18957561	0.19026418	0.22932176
0.2559054	0.20248918	0.133043	0.086489424	0.06164155	0.046504855	0.029562967	0.02376438	0.020901334	0.02192358	0.02239888
0.02075013	0.022770988	0.02472863	0.027842555	0.034049727	0.042033903	0.04963612	0.05445268	0.046940316	0.051373824	0.05835396
0.06157195	0.071276195	0.075196736	0.07203815	0.06315656	0.057916474	0.05727634	0.062780164	0.05013871	0.05270102	0.0491191
0.05006998	0.052636217	0.060862932	0.0683641	0.073155746	0.07647652	0.07797676	0.08050604	0.075009674	0.06527822	0.059955407
0.059510145	0.06145824	0.06408717	0.06435752	0.06328732	0.060031693	0.048313044	0.036173455	0.030465592	0.028321393	0.030007904
0.035257533	0.04031827	0.046485633	0.05605728	0.058506507	0.061083406	0.067672014	0.0751934	0.08735321	0.09632484	0.10626221
