"AT"	"Balt"	"BE"	"DE"	"DK"	"Es"	"Fr"	"Nl"	"No"	"Se"	"Uk"
0.105268225	0.09071169	0.09063009	0.09926894	0.10364269	0.10488096	0.10997717	0.12734924	0.15349816	0.18007688	0.23495959
0.29773918	0.38334623	0.43036887	0.4381408	0.4052198	0.34437892	0.30029672	0.2457888	0.23562127	0.22903106	0.20523238
0.23839486	0.19706868	0.15544216	0.1580207	0.15332699	0.20261972	0.25634056	0.2728947	0.31014946	0.3670397	0.51286405
0.68424416	0.78489196	0.85174733	0.8766981	0.89358	0.8754795	0.824955	0.71433425	0.61789817	0.48838872	0.3084877
0.13990879	0.041173488	0.024031062	0.033694692	0.07353663	0.1587007	0.39979145	0.53016853	0.5792113	0.5582128	0.4233962
0.29514048	0.3210291	0.4820826	0.568582	0.6067934	0.6348785	0.68577945	0.72637	0.71116155	0.70952016	0.7729489
0.79166216	0.8318255	0.8562894	0.8807007	0.89217633	0.904348	0.91925454	0.9269662	0.9321834	0.9349212	0.9353391
0.93632466	0.9358094	0.93482643	0.93243945	0.9234293	0.9107993	0.9196163	0.9138474	0.886202	0.87668467	0.84563905
0.8239766	0.81731915	0.8149804	0.80880857	0.80644816	0.80956024	0.76917934	0.75574625	0.7365526	0.6739727	0.5441996
0.45910704	0.4146143	0.27386308	0.12597333	0.06597278	0.03790168	0.026787	0.055803806	0.1297973	0.22416128	0.338871
0.4171077	0.44448537	0.42843914	0.46291947	0.51613253	0.5692848	0.6412582	0.73239326	0.76168066	0.81072503	0.81331545
0.7991798	0.7614392	0.721207	0.68142027	0.63404554	0.54466355	0.42434296	0.3265109	0.2835614	0.22173072	0.16721144
0.12916595	0.12106759	0.10879894	0.094048746	0.08486384	0.07308203	0.06825368	0.06566087	0.06405238	0.06462186	0.06645776
0.08941826	0.09631404	0.102852196	0.13428055	0.1418891	0.13227977	0.15160489	0.15943107	0.15904382	0.12796313	0.072699875
0.052857928	0.03764154	0.0274928	0.020415802	0.013485399	0.013163776	0.023190266	0.033795893	0.0653024	0.10330781	0.12339944
0.13797005	0.14778799	0.14972594	0.15259793	0.13864678	0.13516335	0.13090602	0.121918716	0.11879268	0.10360793	0.09475798
0.093408525	0.09936182	0.086198136	0.06121963	0.063797124	0.07650052	0.08583097	0.10183749	0.106493585	0.0847852	0.07709958
0.08406483	0.08823563	0.07291896	0.07289883	0.06531206	0.06610657	0.06633028	0.0601431	0.056337707	0.05958683	0.06955436
0.07669057	0.08163181	0.0802964	0.07738604	0.08338472	0.06785624	0.068877995	0.07123323	0.08987951	0.09950694	0.11311767
0.1349758	0.16742368	0.20412566	0.214474	0.19169429	0.16519025	0.14438038	0.1391923	0.11637876	0.10023549	0.09248959
0.088373184	0.08628002	0.08547522	0.08763182	0.08222583	0.07316345	0.059734557	0.05320955	0.07238712	0.1259164	0.24409789
0.4136014	0.63530344	0.68544006	0.63986874	0.5771914	0.4984542	0.47466537	0.5057797	0.49425834	0.48692176	0.46317184
0.47144195	0.5275404	0.5963744	0.6204718	0.66302943	0.7496562	0.7885516	0.8074139	0.8156345	0.8177224	0.8284241
0.8288838	0.7940844	0.72986996	0.68344915	0.68888044	0.67752886	0.6804732	0.6795903	0.63046473	0.5194562	0.39572212
0.34275675	0.40594494	0.57775766	0.82081175	0.8717986	0.8669307	0.86192	0.8644544	0.866856	0.8651736	0.85661525
0.8286762	0.8202422	0.8334498	0.8440511	0.8220892	0.7940822	0.7982241	0.8070066	0.82173467	0.8262485	0.82789826
0.8340302	0.83622104	0.8354458	0.8251209	0.8213021	0.83369833	0.8520324	0.86175126	0.86078143	0.8510137	0.83828557
0.8271959	0.7587896	0.8065898	0.8480935	0.87791634	0.90122956	0.88573706	0.847789	0.7863968	0.67790884	0.6021725
0.5428435	0.5442945	0.47566232	0.47258303	0.45237052	0.42576867	0.40561268	0.39962134	0.34147328	0.25489727	0.16194378
0.08588594	0.07400329	0.09521576	0.10891507	0.104030676	0.109910205	0.16908354	0.32906112	0.44114074	0.47454616	0.45110464
0.42667094	0.38580424	0.38037178	0.39620668	0.44307172	0.44200453	0.5356796	0.72862774	0.8043665	0.8558189	0.8548373
0.84021586	0.83217794	0.8016394	0.78112113	0.7367668	0.7836377	0.78330696	0.7844356	0.7621546	0.70543617	0.6341319
0.54702896	0.47788113	0.44505346	0.39348486	0.31671602	0.24585511	0.17340554	0.14595838	0.12721466	0.12137701	0.12106732
0.119864784	0.12277747	0.12003828	0.114110425	0.11150491	0.10841047	0.118253	0.10748518	0.13620687	0.16378522	0.16846421
0.16223449	0.13429837	0.08898248	0.06171586	0.042449757	0.030699424	0.02883628	0.03034347	0.03955498	0.06838783	0.08419151
0.08661207	0.10278005	0.13340019	0.14889693	0.19153231	0.28678364	0.39009613	0.43226716	0.45593956	0.38882607	0.5121796
0.6580187	0.71195155	0.7856452	0.7988592	0.8103203	0.83302313	0.83920205	0.8223987	0.7891189	0.76509154	0.66813123
0.67979753	0.6746794	0.6146242	0.57327086	0.5217734	0.47389278	0.47530368	0.49636516	0.43152466	0.3419854	0.27895713
0.34623274	0.40938976	0.3786189	0.27769598	0.20366138	0.14700101	0.1267621	0.123625964	0.1138544	0.11393467	0.12074149
0.13118538	0.14594018	0.17975982	0.2281975	0.27100837	0.32295138	0.3713911	0.38280678	0.35953137	0.3679344	0.3692447
0.3807341	0.3930902	0.35251012	0.3614725	0.3830566	0.47531492	0.4672584	0.41663468	0.39459547	0.42153874	0.40975142
0.39027902	0.3630561	0.3643688	0.40584528	0.43583012	0.4563308	0.4344433	0.3925332	0.37306777	0.3345089	0.28573722
0.282777	0.2739394	0.259646	0.24542165	0.15555917	0.16396213	0.22530372	0.29361963	0.3105949	0.33771542	0.35502836
0.3562455	0.33620656	0.33649993	0.37422514	0.4602603	0.5025723	0.57398915	0.5955722	0.6073309	0.61539966	0.6271154
0.6251066	0.6099948	0.6308649	0.66485554	0.6971873	0.72059876	0.6371838	0.7210749	0.77846843	0.8109227	0.8674173
