"AT"	"Balt"	"BE"	"DE"	"DK"	"Es"	"Fr"	"Nl"	"No"	"Se"	"Uk"
0.45843023	0.4936128	0.51041585	0.52796185	0.5160994	0.47178376	0.44179288	0.43972468	0.37717378	0.2741092	0.19051716
0.1406082	0.11036725	0.06895311	0.056479402	0.06791959	0.07516843	0.09417004	0.0861964	0.077198975	0.073523	0.06979718
0.043497156	0.032087877	0.030488802	0.030111564	0.027567882	0.027646426	0.028068064	0.03022458	0.030679742	0.031431332	0.034570314
0.040087473	0.04580998	0.058684617	0.087520175	0.0968151	0.11284123	0.15887244	0.21632716	0.26581967	0.28546986	0.2909932
0.31150585	0.3089486	0.2518381	0.23195128	0.19783245	0.17665982	0.15953754	0.15489991	0.15628017	0.17309338	0.17800044
0.18467425	0.18522952	0.19910787	0.16446586	0.15117547	0.19653758	0.35557398	0.43466637	0.49824512	0.5457595	0.5784744
0.6187377	0.6500304	0.6872317	0.7246985	0.7522704	0.7661394	0.77637005	0.7925525	0.79594964	0.7871303	0.80443573
0.800076	0.79591143	0.81392425	0.82887006	0.8374179	0.7805258	0.8119713	0.82529855	0.8427621	0.8568391	0.83612067
0.7865881	0.70949715	0.67213386	0.7076696	0.7468302	0.8148584	0.7861554	0.78213394	0.80166876	0.7980256	0.81457543
0.8203286	0.8136815	0.81192595	0.8086099	0.79827154	0.8000517	0.7918228	0.6927849	0.7519498	0.7993252	0.82696176
0.82458705	0.7998563	0.7811784	0.7539972	0.7329927	0.70914584	0.6785402	0.6378032	0.513983	0.5011618	0.4757616
0.46461254	0.45160115	0.44072554	0.43442097	0.38899353	0.30246478	0.22487849	0.15601172	0.1167533	0.06949106	0.060867134
0.07409844	0.096037075	0.15615723	0.32503632	0.5599002	0.7174007	0.7794431	0.80871433	0.81421876	0.8114677	0.7647382
0.74963814	0.7137438	0.6264872	0.5394549	0.47241458	0.36780083	0.27874562	0.2258323	0.16865905	0.12703079	0.111852095
0.091620445	0.08547933	0.09709765	0.1054798	0.10079926	0.08248744	0.07516009	0.07301042	0.068105	0.05803117	0.04422149
