t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t1	0	0	0	0	0	0	0	0.000379251	0.0455573	0.14700341	0.23364194
t2	0.28283194	0.28243673	0.2374895	0.1571049	0.06001628	0.002681015	0	0	0	0	0
t3	0	0	0	0	0	0	0	0	0	0.000276619	0.015875041
t4	0.056373794	0.10421398	0.1555154	0.17811933	0.15839443	0.10794928	0.040169973	0.002333325	0	0	0
t5	0	0	0	0	0	0	0	0	0	0	0
t6	0.000366772	0.03844173	0.110111415	0.1598245	0.18207397	0.18088596	0.15504941	0.09513465	0.036009353	0.001883359	0
t7	0	0	0	0	0	0	0	0	0	0	0
t8	0	0	0.000259307	0.0191263	0.059526224	0.086671904	0.10598431	0.119186416	0.10856678	0.07632497	0.030811923
t9	0.001955458	0	0	0	0	0	0	0	0	0	0
t10	0	0	0	0	0.000289029	0.019256653	0.055033192	0.09779237	0.11588982	0.113127775	0.09618819
t11	0.061578687	0.028081922	0.001970684	0	0	0	0	0	0	0	0
t12	0	0	0	0	0	0	0.000242989	0.01518714	0.046733815	0.07517147	0.11862628
t13	0.1232651	0.098710306	0.062983714	0.027033927	0.002646625	0	0	0	0	0	0
t14	0	0	0	0	0	0	0	0	0.000215351	0.014988454	0.04687065
t15	0.08582365	0.098820195	0.1166275	0.110941425	0.084940046	0.039111126	0.003214819	0	0	0	0
t16	0	0	0	0	0	0	0	0	0	0	0.000263376
t17	0.025084326	0.07930974	0.12786593	0.15668097	0.1563727	0.14545152	0.10159083	0.043328203	0.003663548	0	0
t18	0	0	0	0	0	0	0	0	0	0	0
t19	0	0.000287376	0.022381816	0.06550701	0.1092919	0.13308902	0.15395686	0.13244869	0.0988858	0.052344557	0.005511314
t20	0	0	0	0	0	0	0	0	0	0	0
t21	0	0	0	0.000387974	0.024519622	0.079025805	0.10804791	0.13957407	0.1553252	0.13881215	0.10304402
t22	0.04960116	0.004602009	0	0	0	0	0	0	0	0	0
