t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t1	0	0	0	0	0	0	0	0.000289366	0.034759812	0.11891799	0.1971682
t2	0.25424418	0.2649012	0.22635932	0.14069343	0.056123096	0.002623789	0	0	0	0	0
t3	0	0	0	0	0	0	0	0	0	0.00030415	0.032796957
t4	0.105812274	0.16741271	0.19952759	0.21739519	0.18581714	0.13546227	0.057205223	0.003116279	0	0	0
t5	0	0	0	0	0	0	0	0	0	0	0
t6	0.000323211	0.036727905	0.11886632	0.20400155	0.25052866	0.2554032	0.2391783	0.16100149	0.068786755	0.003608208	0
t7	0	0	0	0	0	0	0	0	0	0	0
t8	0	0	0.000370246	0.043368503	0.14750646	0.22041093	0.29014343	0.3003345	0.2668352	0.18385334	0.07570985
t9	0.004099417	0	0	0	0	0	0	0	0	0	0
t10	0	0	0	0	0.000376275	0.043767825	0.14159316	0.22828239	0.28476664	0.30233476	0.26100513
t11	0.18185489	0.07601865	0.004531339	0	0	0	0	0	0	0	0
t12	0	0	0	0	0	0	0.00037834	0.04544142	0.14558251	0.23426598	0.29580513
t13	0.30339995	0.26672173	0.18321872	0.07748102	0.005020469	0	0	0	0	0	0
t14	0	0	0	0	0	0	0	0	0.000411343	0.04141589	0.12743858
t15	0.20436297	0.24831244	0.26362166	0.23421456	0.15848373	0.06957444	0.005007659	0	0	0	0
t16	0	0	0	0	0	0	0	0	0	0	0.000381221
t17	0.038404964	0.12723313	0.20632558	0.26805282	0.28840873	0.25929654	0.17860462	0.079103015	0.00583691	0	0
t18	0	0	0	0	0	0	0	0	0	0	0
t19	0	0.000332395	0.034985375	0.10806389	0.19762778	0.25474176	0.25715736	0.22867979	0.15190746	0.062088028	0.005175849
t20	0	0	0	0	0	0	0	0	0	0	0
t21	0	0	0	0.000430106	0.037176054	0.11666481	0.18356355	0.24970667	0.25404602	0.22197391	0.1562838
t22	0.070216134	0.005772088	0	0	0	0	0	0	0	0	0
t23	0	0	0	0	0	0.000487375	0.043017544	0.13564326	0.22104473	0.2765708	0.29912385
t24	0.26835713	0.18959594	0.086369105	0.007548224	0	0	0	0	0	0	0
t25	0	0	0	0	0	0	0	0.000566252	0.045851618	0.14578521	0.23386794
t26	0.3011444	0.32164598	0.28537682	0.20337561	0.091113806	0.008578673	0	0	0	0	0
t27	0	0	0	0	0	0	0	0	0	0.000574889	0.043115105
t28	0.13714005	0.22248684	0.27412724	0.2915514	0.24836653	0.17846331	0.08196293	0.007848001	0	0	0
t29	0	0	0	0	0	0	0	0	0	0	0
t30	0.000642723	0.03839	0.10234549	0.15496927	0.18784761	0.19300157	0.16277929	0.114535086	0.054180756	0.005684292	0
t31	0	0	0	0	0	0	0	0	0	0	0
t32	0	0	0.000579253	0.0388503	0.1252769	0.19810683	0.23710206	0.27015147	0.22224842	0.15555348	0.07341801
t33	0.008455708	0	0	0	0	0	0	0	0	0	0
t34	0	0	0	0	0.000911194	0.05115855	0.14803807	0.24156293	0.2980456	0.31885764	0.28597438
t35	0.20392513	0.09774764	0.012421813	0	0	0	0	0	0	0	0
t36	0	0	0	0	0	0	0.000980036	0.054327928	0.16837934	0.2678506	0.33083126
t37	0.3378138	0.2967213	0.21585	0.1072429	0.014272054	0	0	0	0	0	0
t38	0	0	0	0	0	0	0	0	0.001207445	0.061737545	0.17821155
t39	0.27552924	0.33907148	0.35714352	0.3185469	0.22935453	0.11448695	0.015576365	0	0	0	0
t40	0	0	0	0	0	0	0	0	0	0	0.001322924
t41	0.06342309	0.18164544	0.28397158	0.34639305	0.36140457	0.32129005	0.23276389	0.117192045	0.01692732	0	0
t42	0	0	0	0	0	0	0	0	0	0	0
t43	0	0.001361964	0.054304715	0.15187557	0.2522116	0.3355149	0.35896668	0.32195297	0.23554623	0.11916213	0.01802828
t44	0	0	0	0	0	0	0	0	0	0	0
t45	0	0	0	0.00160573	0.063425764	0.1779108	0.2793399	0.34135997	0.3533369	0.31804562	0.23280463
t46	0.11908766	0.019029882	0.00E+00	0	0	0	0	0	0	0	0
t47	0	0	0	0	0	0.001862173	0.06471637	0.18161604	0.2759247	0.33650205	0.35545182
t48	0.3198152	0.23699972	0.12468702	0.020898763	1.23E-05	0	0	0	0	0	0
t49	0	0	0	0	0	0	0	0.00168605	0.05642955	0.1557282	0.2372487
t50	0.30022427	0.3166585	0.30077383	0.22724746	0.123926915	0.022673927	3.36E-05	0	0	0	0
t51	0	0	0	0	0	0	0	0	0	0.002440459	0.07276178
t52	0.1905258	0.2884406	0.35975954	0.37723696	0.33843383	0.2516218	0.13295284	0.024659643	8.31E-05	0	0
t53	0	0	0	0	0	0	0	0	0	0	0
t54	0.002320666	0.058129072	0.1505369	0.23296551	0.28513226	0.30646515	0.28279325	0.21254979	0.11581338	0.023579054	0.000103941
t55	0	0	0	0	0	0	0	0	0	0	0
t56	0	0	0.002438778	0.060904812	0.15624942	0.24919967	0.31622517	0.3478747	0.30265245	0.23345742	0.1280449
t57	0.026190054	0.000185884	0	0	0	0	0	0	0	0	0
t58	0	0	0	0	0.002403218	0.05639175	0.14196916	0.20122622	0.24718544	0.2527409	0.2433936
t59	0.1833704	0.09857976	0.022298817	0.000275958	0	0	0	0	0	0	0
t60	0	0	0	0	0	0	0.002540136	0.055435624	0.13663371	0.22543117	0.2795293
t61	0.293056	0.27996397	0.20738527	0.117341965	0.026238395	0.000327418	0	0	0	0	0
t62	0	0	0	0	0	0	0	0	0.002774975	0.051400423	0.13100226
t63	0.22828135	0.2854327	0.2904495	0.25469562	0.1920675	0.11016113	0.026418962	0.00037109	0	0	0
t64	0	0	0	0	0	0	0	0	0	0	0.004136935
t65	0.072404586	0.17585209	0.2698796	0.34068093	0.37088758	0.33701906	0.2630453	0.15003973	0.03671635	0.000405994	0
t66	0	0	0	0	0	0	0	0	0	0	0
t67	0	0.003367233	0.048495	0.119027376	0.2015647	0.25566193	0.27066344	0.23803303	0.18421364	0.10286588	0.031112006
t68	0.000342182	0	0	0	0	0	0	0	0	0	0
t69	0	0	0	0.006018222	0.08307421	0.18956777	0.2938274	0.35647884	0.35895932	0.32915992	0.2603313
t70	0.15818286	0.045353707	0.000454473	0	0	0	0	0	0	0	0
t71	0	0	0	0	0	0.007701147	0.0955325	0.20202035	0.30139443	0.3622132	0.3701769
t72	0.3247108	0.23862217	0.13430755	0.03784504	0.000493082	0	0	0	0	0	0
t73	0	0	0	0	0	0	0	0.005219685	0.062290728	0.16188657	0.27616903
t74	0.35654718	0.38054347	0.33610606	0.24909352	0.14420995	0.038164232	0.000358495	0	0	0	0
t75	0	0	0	0	0	0	0	0	0	0.004899347	0.046107795
t76	0.09353909	0.14391218	0.16648692	0.1768661	0.16243377	0.12338982	0.07074439	0.02472382	0.000350177	0	0
t77	0	0	0	0	0	0	0	0	0	0	0
