	AT	Balt	BE	DE	DK	Es	Fr	NL	No	Se	Uk
t1	0.46	0.49	0.51	0.53	0.52	0.47	0.44	0.44	0.38	0.27	0.19
t2	0.14	0.11	0.07	0.06	0.07	0.08	0.09	0.09	0.08	0.07	0.07
t3	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03
t4	0.04	0.05	0.06	0.09	0.10	0.11	0.16	0.22	0.27	0.29	0.29
t5	0.31	0.31	0.25	0.23	0.20	0.18	0.16	0.15	0.16	0.17	0.18
t6	0.18	0.19	0.20	0.16	0.15	0.20	0.36	0.43	0.50	0.55	0.58
t7	0.62	0.65	0.69	0.72	0.75	0.77	0.78	0.79	0.80	0.79	0.80
t8	0.80	0.80	0.81	0.83	0.84	0.78	0.81	0.83	0.84	0.86	0.84
t9	0.79	0.71	0.67	0.71	0.75	0.81	0.79	0.78	0.80	0.80	0.81
t10	0.82	0.81	0.81	0.81	0.80	0.80	0.79	0.69	0.75	0.80	0.83
t11	0.82	0.80	0.78	0.75	0.73	0.71	0.68	0.64	0.51	0.50	0.48
t12	0.46	0.45	0.44	0.43	0.39	0.30	0.22	0.16	0.12	0.07	0.06
t13	0.07	0.10	0.16	0.33	0.56	0.72	0.78	0.81	0.81	0.81	0.76
t14	0.75	0.71	0.63	0.54	0.47	0.37	0.28	0.23	0.17	0.13	0.11
t15	0.09	0.09	0.10	0.11	0.10	0.08	0.08	0.07	0.07	0.06	0.04
t16	0.03	0.03	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02
t17	0.02	0.03	0.02	0.03	0.04	0.05	0.05	0.05	0.06	0.05	0.06
t18	0.05	0.05	0.06	0.07	0.11	0.18	0.21	0.26	0.33	0.34	0.32
t19	0.29	0.23	0.17	0.13	0.08	0.05	0.03	0.02	0.02	0.02	0.05
t20	0.12	0.19	0.26	0.34	0.37	0.33	0.27	0.18	0.13	0.10	0.09
t21	0.09	0.12	0.19	0.26	0.29	0.28	0.18	0.12	0.16	0.16	0.14
t22	0.16	0.17	0.20	0.23	0.24	0.24	0.22	0.16	0.21	0.24	0.26
t23	0.29	0.31	0.31	0.28	0.28	0.33	0.37	0.39	0.43	0.38	0.37
t24	0.37	0.40	0.42	0.45	0.47	0.48	0.45	0.36	0.28	0.21	0.16
t25	0.13	0.10	0.08	0.07	0.07	0.06	0.05	0.04	0.04	0.03	0.03
t26	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.02
t27	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.04	0.05
t28	0.04	0.05	0.06	0.07	0.08	0.10	0.12	0.15	0.16	0.18	0.18
t29	0.17	0.18	0.14	0.14	0.13	0.13	0.12	0.09	0.10	0.13	0.14
t30	0.13	0.11	0.10	0.07	0.09	0.06	0.04	0.02	0.02	0.01	0.01
t31	0.02	0.03	0.05	0.06	0.05	0.05	0.05	0.06	0.04	0.03	0.03
t32	0.03	0.03	0.03	0.04	0.05	0.07	0.12	0.18	0.28	0.35	0.37
t33	0.33	0.30	0.24	0.20	0.16	0.11	0.05	0.02	0.02	0.04	0.08
t34	0.12	0.14	0.14	0.19	0.22	0.24	0.25	0.20	0.18	0.19	0.23
t35	0.26	0.28	0.30	0.32	0.34	0.32	0.31	0.29	0.23	0.24	0.23
t36	0.23	0.24	0.26	0.28	0.29	0.29	0.28	0.26	0.26	0.21	0.26
t37	0.34	0.38	0.38	0.40	0.43	0.43	0.43	0.45	0.47	0.51	0.53
t38	0.58	0.60	0.60	0.61	0.64	0.67	0.69	0.72	0.74	0.74	0.71
t39	0.75	0.77	0.76	0.72	0.72	0.72	0.69	0.65	0.64	0.63	0.61
t40	0.60	0.57	0.53	0.48	0.46	0.43	0.38	0.30	0.23	0.21	0.19
