t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t1	0.45843023	0.4936128	0.51041585	0.52796185	0.5160994	0.47178376	0.44179288	0.43972468	0.37717378	0.2741092	0.19051716
t2	0.1406082	0.11036725	0.06895311	0.056479402	0.06791959	0.07516843	0.09417004	0.0861964	0.077198975	0.073523	0.06979718
t3	0.043497156	0.032087877	0.030488802	0.030111564	0.027567882	0.027646426	0.028068064	0.03022458	0.030679742	0.031431332	0.034570314
t4	0.040087473	0.04580998	0.058684617	0.087520175	0.0968151	0.11284123	0.15887244	0.21632716	0.26581967	0.28546986	0.2909932
t5	0.31150585	0.3089486	0.2518381	0.23195128	0.19783245	0.17665982	0.15953754	0.15489991	0.15628017	0.17309338	0.17800044
t6	0.18467425	0.18522952	0.19910787	0.16446586	0.15117547	0.19653758	0.35557398	0.43466637	0.49824512	0.5457595	0.5784744
t7	0.6187377	0.6500304	0.6872317	0.7246985	0.7522704	0.7661394	0.77637005	0.7925525	0.79594964	0.7871303	0.80443573
t8	0.800076	0.79591143	0.81392425	0.82887006	0.8374179	0.7805258	0.8119713	0.82529855	0.8427621	0.8568391	0.83612067
t9	0.7865881	0.70949715	0.67213386	0.7076696	0.7468302	0.8148584	0.7861554	0.78213394	0.80166876	0.7980256	0.81457543
t10	0.8203286	0.8136815	0.81192595	0.8086099	0.79827154	0.8000517	0.7918228	0.6927849	0.7519498	0.7993252	0.82696176
t11	0.82458705	0.7998563	0.7811784	0.7539972	0.7329927	0.70914584	0.6785402	0.6378032	0.513983	0.5011618	0.4757616
t12	0.46461254	0.45160115	0.44072554	0.43442097	0.38899353	0.30246478	0.22487849	0.15601172	0.1167533	0.06949106	0.060867134
t13	0.07409844	0.096037075	0.15615723	0.32503632	0.5599002	0.7174007	0.7794431	0.80871433	0.81421876	0.8114677	0.7647382
t14	0.74963814	0.7137438	0.6264872	0.5394549	0.47241458	0.36780083	0.27874562	0.2258323	0.16865905	0.12703079	0.111852095
t15	0.091620445	0.08547933	0.09709765	0.1054798	0.10079926	0.08248744	0.07516009	0.07301042	0.068105	0.05803117	0.04422149
t16	0.032156866	0.025735097	0.020056525	0.017531194	0.013721118	0.012792164	0.015027347	0.018563986	0.019155007	0.01918637	0.021350333
t17	0.0241076	0.025937857	0.022219129	0.028873684	0.03578232	0.045630887	0.0512542	0.05394587	0.05581627	0.0542929	0.055052582
t18	0.05342811	0.053874742	0.058851667	0.07103922	0.11493325	0.17510477	0.21001057	0.26058644	0.3267626	0.3418736	0.32293782
t19	0.28588536	0.2346224	0.1747613	0.12965515	0.08355266	0.05000198	0.030687908	0.019157592	0.015162214	0.021407142	0.04561631
t20	0.11830557	0.19066978	0.2597675	0.33584836	0.36751574	0.3330946	0.26568267	0.1842221	0.12643263	0.10263888	0.08873128
t21	0.092676654	0.12162431	0.18942137	0.25936523	0.28766856	0.28324497	0.17562604	0.12281398	0.15856297	0.15772778	0.1433115
t22	0.155999	0.16779755	0.19745465	0.2250027	0.2392534	0.24491955	0.21955253	0.16287342	0.21014877	0.2414439	0.26209182
t23	0.2868813	0.3053986	0.30781513	0.28058675	0.2820006	0.32514402	0.3660986	0.38851124	0.42718098	0.3814282	0.37217402
t24	0.36661175	0.39809045	0.41689503	0.44699952	0.47476906	0.48297647	0.4471723	0.3642449	0.28486893	0.21018484	0.15933552
