    AT   ;    BALT;    BE ;    CH  ;    CZ ;    DE  ;    DK ;    ES   ;    FR  ;    HU  ;    IT  ;    LU  ;    NE  ;    NO  ;    PL   ;    SE  ;    SI  ;    UK   
7934.365112;2779.921805;9213.007529;6797.765281;7215.01539;59319.24647;3616.989423;28111.50791;52429.95772;4451.341836;29562.28509;859.726808;11833.87165;15416.57746;16579.82647;16232.59727;1551.614211;37874.99195
7710.872623;2794.496377;8971.885206;6694.538014;7149.690201;58439.68455;3533.435566;27042.70006;50276.06494;4364.964111;28424.77706;852.2533712;11464.06768;15273.23496;16222.00661;16022.07662;1507.011901;35573.66399
7726.51288;2818.383194;8956.520164;6688.266755;7127.023749;58232.15973;3524.739278;26664.52712;49993.56661;4340.213286;28193.65899;856.9997058;11422.71273;15254.11509;16144.2034;15777.89935;1501.704411;34568.51431
7726.51288;3172.446208;8997.634005;6686.692174;7127.023749;58232.15973;3524.739278;26698.00828;50389.91163;4337.136847;28193.65899;875.3095971;11428.82096;15258.38098;16144.2034;15753.28677;1501.704411;34278.34539
8552.417444;3807.054958;9482.731596;6943.976208;7531.395444;61224.33873;3698.760621;27512.35318;53260.17331;4561.096922;29250.81785;906.9672395;11814.9609;15356.21273;16883.94963;15970.23774;1562.931028;34278.34539
9785.448449;3893.317495;10696.09208;7983.735237;8748.782111;70028.56906;4246.736003;29554.01379;58753.72625;5347.322967;33674.77486;1004.519372;13391.28912;16757.9573;18907.04731;17505.91118;1787.463766;36064.18144
10594.00454;3827.69218;11868.35742;8732.698864;9601.777715;76902.8638;4659.872715;32477.58904;65907.99727;5825.822155;39427.50054;1111.662252;15297.68819;17491.50981;19987.52209;18346.53387;1982.688165;42458.80318
10746.35952;3782.108582;12570.02666;9071.120481;9914.216397;80295.074;4863.515324;35599.96371;71095.25816;5989.405833;42554.5043;1163.264047;16253.76205;17102.57118;20416.1242;18400.46844;2050.970565;46022.45326
10606.58243;3777.793316;12696.50961;9181.701053;10003.7277;81930.08296;4917.524723;38107.74825;71785.36337;6025.095914;44764.03094;1174.895931;16573.73586;16878.43313;20640.44864;18169.12629;2074.796814;48598.92162
10508.27767;3774.310369;12705.01549;9179.168915;10035.87775;82017.26074;4932.399484;38408.60197;71795.45322;6035.583305;45505.66607;1177.318917;16656.08047;16947.38437;20862.71799;18250.99358;2079.458721;49723.25222
10439.10443;3770.974566;12683.86418;9141.111965;10006.13219;81877.18648;4936.987437;37836.81575;71760.01979;6027.264988;45385.04473;1173.148102;16626.40544;16993.74536;20947.01521;18180.58194;2074.385733;50161.98449
10372.31315;3772.294377;12683.86418;9089.676267;9946.751287;81611.90567;4936.987437;36758.06427;71439.40464;6007.423503;44899.85802;1167.100693;16626.40544;16993.74536;20945.61766;18167.54275;2074.385733;50102.36725
10365.71017;3774.068254;12675.84677;9049.686159;9940.418716;81559.48984;4949.097625;36227.89402;71394.38515;5980.658062;45001.96898;1160.926597;16595.58424;16982.46575;20966.8764;18185.75053;2084.73652;49913.57443
10340.60673;3770.286944;12675.84677;9049.686159;9916.34333;81559.48984;4963.271611;36151.67816;71394.38515;5980.658062;44755.83811;1166.35699;16542.25879;16982.46575;20966.8764;18185.75053;2084.73652;49812.6927
10356.18952;3769.478265;12726.84343;9041.317563;9907.212577;81483.91296;4963.271611;35904.78489;71329.47284;5997.907077;44755.83811;1176.825465;16527.19805;16982.46575;20931.79571;18185.75053;2082.803626;49812.6927
10356.18952;3795.240656;12805.81131;9110.383512;10005.46192;81851.44292;4978.947606;35904.78489;71329.47284;6002.73101;44832.26607;1186.593931;16600.89942;17011.54606;20968.64968;18237.05371;2097.751105;49767.50731
10613.25725;3794.745014;13020.35244;9186.399086;10018.77764;81753.27526;4973.071241;36311.11829;72522.67118;6065.252556;45688.80042;1184.853732;16967.15778;17003.94847;21073.15861;18207.58063;2134.651945;49886.64926
10597.5667;3794.745014;13002.13819;9208.585743;10064.90483;82056.14491;4979.927325;36614.89378;72840.32655;6094.675279;46306.76686;1184.853732;17004.89486;17035.97914;21055.28377;18207.58063;2171.845939;50392.01744
10564.34963;3733.070571;12976.06852;9110.011855;10057.66676;82754.03963;4979.927325;37008.86733;72693.93975;6123.471085;46306.76686;1181.072454;17004.89486;16986.3576;21055.28377;18258.27355;2173.992812;50386.09468
10310.86254;3653.327196;12670.0038;8822.318705;9798.327583;80590.83974;4856.822608;37398.19296;71074.2318;5986.405715;45137.144;1150.729526;16848.24983;16970.66248;21126.2791;17959.29635;2127.802328;50266.95273
9855.045537;3512.301489;12115.79436;8108.30707;8968.910326;74269.59149;4463.947894;36409.7049;68217.81042;5682.165368;41428.34735;1045.837867;16114.75092;16936.17591;21485.10702;17724.61052;2100.14571;49291.39249
9554.741328;3299.629189;11634.99644;7666.072285;8424.415478;69799.80173;4190.650615;34851.04528;65499.00845;5431.070667;38930.14657;995.3990168;15419.06216;16344.48524;20812.96078;17251.85984;2013.448206;45757.21496
9057.027118;2886.618987;11080.25366;7375.722509;7934.968432;65870.50849;3931.174984;33016.10939;61998.71884;4973.097425;35388.32705;949.0801801;14317.61813;15832.10948;19803.07582;16655.89321;1879.370104;43371.02984
8055.736169;2793.672005;9659.912762;6907.664783;7518.479813;61715.09559;3746.378193;29786.17327;54171.85291;4661.572115;31173.68862;902.2610145;12478.26184;15786.05137;17909.4092;16369.17521;1594.640328;40885.38035
7952.886603;2781.933517;9373.171945;6885.891729;7430.285911;59788.47163;3638.229921;28111.50791;53611.91517;4442.359047;29659.17073;884.4825458;11908.71187;15453.1769;17037.68196;16205.98516;1548.286391;37874.99195
