DK;SE;CZ;PL;AT;CH;FR;LU;NE;BE;unit:MWh
4040.034268;18125.3246;8005.335951;18982.91512;8944.93754;7573.272389;58490.47189;957.2557642;13229.21024;10254.25958;
3942.620094;17873.34683;7892.888991;18521.00115;8701.980168;7458.268681;56036.47276;950.8850251;12804.54928;9985.668929;
3922.909147;17601.32074;7875.039432;18387.22994;8729.865029;7451.281979;55793.12004;957.3502695;12775.03073;9968.553521;
3922.909147;17573.90106;7875.039432;18387.22994;8729.865029;7449.527767;56234.62577;981.6466308;12781.83547;10014.35099;
4116.767783;17815.59564;8294.704153;19076.65579;9637.369108;7846.637154;59287.88141;1019.258906;13178.58117;10554.71024;
4721.864219;19670.41711;9672.785828;21046.29463;10958.00172;9005.016663;65407.37814;1115.53213;14980.30527;11906.29509;
5181.034288;20606.30864;10629.71778;22379.35503;11822.49301;9747.75876;73371.24706;1236.018541;17087.70732;13212.10329;
5407.89082;20666.39454;10990.03417;22856.84757;11992.20747;10124.78841;79149.55972;1294.940539;18152.80052;13993.70572;
5475.420768;20413.16197;11125.49392;23154.98049;11836.50404;10247.98431;79918.29755;1307.897165;18463.60846;14134.59743;
5489.978391;20435.87726;11137.22589;23505.53714;11705.60112;10226.35287;80012.12649;1311.960378;18555.34268;14158.78012;
5495.089341;20357.43506;11094.43781;23599.4501;11628.54621;10183.95428;80017.45785;1308.05463;18522.28386;14143.19782;
5495.089341;20342.90873;11052.67482;23597.89313;11554.14466;10126.65066;79660.31086;1300.184682;18522.28386;14143.19782;
5508.580011;20363.19313;11035.42277;23621.57684;11536.15532;10082.09838;79537.65826;1292.109757;18471.12487;14134.26707;
5524.369739;20363.19313;11008.60513;23621.57684;11508.19157;10082.09838;79537.65826;1298.158612;18411.71882;14134.26707;
5524.369739;20363.19313;10998.43435;23582.49451;11525.54988;10072.77507;79465.34965;1310.953137;18394.94073;14191.07321;
5541.832695;20420.34753;11083.49302;23626.68929;11525.54988;10149.72025;79465.34965;1323.03179;18477.04613;14266.40154;
5535.286463;20387.51299;11107.97984;23649.28058;11811.90815;10234.40788;80794.50451;1321.093401;18885.06826;14505.3829;
5542.924095;20387.51299;11159.36105;23720.41848;11794.42981;10259.12565;81148.35447;1321.093401;18927.10843;14485.09371;
5542.924095;20443.98752;11105.83759;23720.41848;11768.06197;10149.30619;80857.89633;1308.240551;18927.10843;14419.28743;
5405.786247;20112.08977;10791.73205;23811.40894;11485.69231;9828.792242;79053.6341;1275.410644;18752.60145;14068.0305;
4968.126389;19875.77727;9873.109607;24167.2516;10977.93908;9033.324263;75871.74366;1160.503265;17935.46302;13475.17433;
4670.270135;19349.10861;9301.797635;23460.05339;10643.41791;8540.63816;72843.15339;1104.549686;17160.44614;12939.60318;
4415.055925;18795.72417;8796.475641;22455.97804;10088.99366;8217.164511;69016.53395;1054.153123;15950.22978;12301.10501;
4190.295816;18357.28031;8355.272715;20713.46184;9110.14837;7695.709517;60635.45832;1001.12953;13979.47142;10545.02648;
4063.696043;18095.67733;8215.581085;19935.90294;8963.747132;7671.452536;59707.86681;981.7100421;13312.58435;10414.99699;
3971.936347;17873.34683;8147.92357;19578.43057;8780.366328;7611.61081;57365.35482;983.1927067;12987.41998;10180.97307;
3952.225399;17850.43916;8059.578613;19595.06073;8808.25119;7601.593054;57063.64156;985.6744367;12957.90143;10145.61446;
3952.225399;17855.55016;8059.578613;19650.18743;8808.25119;7601.593054;57063.64156;997.500604;12957.90143;10145.61446;
4153.110233;17920.55905;8502.304908;20364.98796;9613.659202;8032.283734;59760.15162;1038.222284;13370.95861;10690.42589;
5005.292687;19953.46528;10105.95092;22722.377;11056.69163;9046.116802;67351.66668;1148.196202;15325.3241;12021.94086;
5434.237094;20769.35115;10848.90853;23296.41146;11754.87634;9760.93219;74005.46922;1257.052409;17150.56051;13344.58477;
5495.041535;20666.39454;11101.94886;23459.72158;11781.82835;10137.96184;79956.22508;1300.466138;18228.66997;14115.18271;
