name,p_nom_max,weight,p_nom,capital_cost,efficiency,p_nom_min,marginal_cost,p_max_pu,carrier,p_nom_extendable,bus,control,p_nom_opt,build_year,min_up_time,min_down_time,up_time_before,down_time_before
AT1 0 CCGT,inf,0.0,3070.9,8410.574268733495,0.5820000000000001,3070.9,38.73769725306839,1.0,CCGT,False,AT1 0,Slack,,0,0,0,1,0
AT1 0 coal,inf,0.0,378.4,29724.036061713898,0.33,378.4,28.196969696969695,1.0,coal,False,AT1 0,,,0,0,0,1,0
AT1 0 onwind,132319.75980855036,7436.308531391856,3055.063285838374,8160.719256490287,1.0,3055.063285838374,0.015000000000000001,1.0,onwind,True,AT1 0,,,0,0,0,1,0
AT1 0 ror,inf,4527.5,4527.5,25406.430062482515,0.8999999999999997,0.0,0.0,1.0,ror,False,AT1 0,,,0,0,0,1,0
AT1 0 solar,55306.020005485705,6626.747915380572,2098.336104242109,3023.737557692981,1.0,2098.336104242109,0.010000000000000002,1.0,solar,True,AT1 0,,,0,0,0,1,0
BE1 0 CCGT,inf,0.0,4027.3,8410.574268733495,0.5654727668845315,4027.3,41.53642055329897,1.0,CCGT,False,BE1 0,,,0,0,0,1,0
BE1 0 OCGT,inf,0.0,308.0,3830.0237999145133,0.41,308.0,53.524390243902445,1.0,OCGT,True,BE1 0,,,0,0,0,1,0
BE1 0 biomass,inf,0.0,363.0,23618.013769965433,0.47,363.0,14.893617021276597,1.0,biomass,False,BE1 0,,,0,0,0,1,0
BE1 0 coal,inf,0.0,512.596947849125,29724.036061713898,0.33,512.596947849125,28.196969696969695,1.0,coal,False,BE1 0,,,0,0,0,1,0
BE1 0 nuclear,inf,0.0,5919.0,60027.26334202117,0.33,5919.0,11.378787878787879,0.65,nuclear,False,BE1 0,,,0,0,0,1,0
BE1 0 offwind-ac,1347.4013461694685,427.28600218066026,936.6411490816909,15701.197549195756,1.0,936.6411490816909,0.015,1.0,offwind-ac,True,BE1 0,,,0,0,0,1,0
BE1 0 offwind-dc,2303.262670994973,838.7335910981543,1381.016990137138,17111.08866169522,1.0,1381.016990137138,0.015,1.0,offwind-dc,True,BE1 0,,,0,0,0,1,0
BE1 0 oil,inf,0.0,163.6,3216.424738650239,0.35,163.6,148.85714285714286,1.0,oil,False,BE1 0,,,0,0,0,1,0
BE1 0 onwind,15472.263930182582,4428.473133110278,2437.7219254647503,8160.719256490287,1.0,2437.7219254647503,0.015,1.0,onwind,True,BE1 0,,,0,0,0,1,0
BE1 0 ror,inf,79.87619657813644,79.87619657813644,25406.430062482512,0.9,0.0,0.0,1.0,ror,False,BE1 0,,,0,0,0,1,0
BE1 0 solar,35312.020475020465,3888.273285388319,5646.4000000000015,3023.737557692981,1.0,5646.4000000000015,0.01,1.0,solar,True,BE1 0,,,0,0,0,1,0
CH1 0 biomass,inf,0.0,85.9662,23618.013769965437,0.4699999999999998,85.9662,14.893617021276594,1.0,biomass,False,CH1 0,,,0,0,0,1,0
CH1 0 nuclear,inf,0.0,3348.0,60027.263342021164,0.33,3348.0,11.37878787878788,0.86,nuclear,False,CH1 0,,,0,0,0,1,0
CH1 0 onwind,77632.65505210545,1301.8270356693215,129.39139561886645,8160.719256490288,1.0,129.39139561886645,0.014999999999999998,1.0,onwind,True,CH1 0,,,0,0,0,1,0
CH1 0 ror,inf,4437.17,4437.17,25406.430062482512,0.9000000000000001,0.0,0.0,1.0,ror,False,CH1 0,,,0,0,0,1,0
CH1 0 solar,41667.817223725455,5093.378603772149,2961.673295466601,3023.737557692981,1.0,2961.673295466601,0.01,1.0,solar,True,CH1 0,,,0,0,0,1,0
CZ1 0 CCGT,inf,0.0,845.0,8410.574268733495,0.58,845.0,38.85517241379311,1.0,CCGT,False,CZ1 0,,,0,0,0,1,0
CZ1 0 biomass,inf,0.0,1481.5930000000003,23618.013769965426,0.47000000000000003,1481.5930000000003,14.8936170212766,1.0,biomass,False,CZ1 0,,,0,0,0,1,0
CZ1 0 coal,inf,0.0,603.8687065488792,29724.036061713898,0.33,603.8687065488792,28.196969696969695,1.0,coal,False,CZ1 0,,,0,0,0,1,0
CZ1 0 lignite,inf,0.0,5159.372610382669,29724.0360617139,0.33,5159.372610382669,12.287878787878787,1.0,lignite,False,CZ1 0,,,0,0,0,1,0
CZ1 0 nuclear,inf,0.0,4290.0,60027.26334202117,0.33,4290.0,11.378787878787879,0.82,nuclear,False,CZ1 0,,,0,0,0,1,0
CZ1 0 onwind,104063.63234456215,17128.415258964214,339.11449210978657,8160.719256490287,1.0,339.11449210978657,0.015000000000000003,1.0,onwind,True,CZ1 0,,,0,0,0,1,0
