name;bus0;bus1;carrier;geometry;length;p_nom;tags;under_construction;underground;p_min_pu;underwater_fraction;capital_cost;efficiency;p_nom_extendable;p_nom_min;build_year
T0;ES1 0;FR1 6;DC;LINESTRING (-2.867 43.367, -0.408943 45.074191);646.8268101;0;"""name""=>""Biscay Gulf"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/16"", ""status""=>""in permitting""";1;0;-1;0.362891249;3487.369027;1;True;0;0
T2;FR1 4;GB0 0;DC;LINESTRING (-0.172042 49.083593, -1.277269 50.839338);543.7145042;0;"""name""=>""IFA2"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/25"", ""status""=>""under construction""";1;0;-1;0.347612972;3143.220408;1;True;0;0
T6;GB0 0;BE1 0;DC;LINESTRING (1.324854 51.295891, 3.23043 51.24902);429.4772028;0;"""name""=>""Thames Estuary Cluster (NEMO-Link)"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/74"", ""status""=>""under construction""";1;0;-1;0.262264827;2770.992243;1;True;0;0
T10;DE1 1;DE1 3;DC;LINESTRING (11.629014 52.252137, 12.091596 48.080837);331.7659676;0;"""name""=>""HVDC SuedOstLink"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/130"", ""status""=>""in permitting""";1;0;-1;0;2469.273323;1;True;0;0
T12;GB0 4;FR1 4;DC;LINESTRING (-3.533899 50.718412, -1.469216 49.509594);545.5453995;0;"""name""=>""France-Alderney-Britain"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/153"", ""status""=>""in permitting""";1;0;-1;0.218750787;3174.145981;1;True;0;0
T13;GB0 3;DK1 0;DC;LINESTRING (-0.203587 52.93979, 9.178363 55.509166);907.5127891;0;"""name""=>""Viking DKW-GB"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/167"", ""status""=>""in permitting""";1;0;-1;0.788811509;4228.733699;1;True;0;0
T15;IT1 2;CH1 0;DC;LINESTRING (9.439781 45.668539, 9.76569 46.432156);237.0838898;0;"""name""=>""Greenconnector"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/174"", ""status""=>""in permitting""";1;0;-1;0;2138.477668;1;True;0;0
T16;SE2 1;DE1 6;DC;LINESTRING (13.6022222222222 55.8330555555556, 12.189538 53.803155);946.2674048;0;"""name""=>""Hansa PowerBridge I"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/176"", ""status""=>""in permitting""";1;0;-1;0.138292378;4570.11178;1;True;0;0
T17;NO2 0;GB0 2;DC;LINESTRING (7.16027 60.500527, -1.784066 57.508123);1121.886912;0;"""name""=>""NorthConnect"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/190"", ""status""=>""in permitting""";1;0;-1;0.470266614;5043.994448;1;True;0;0
T18;DE1 5;DE1 0;DC;LINESTRING (9.373979 53.922479, 9.117193 49.145157);407.8962698;0;"""name""=>""HVDC SuedLink"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/235"", ""status""=>""in permitting""";1;0;-1;0.018055723;2732.660486;1;True;0;0
T19;GB0 0;FR1 2;DC;LINESTRING (-1.020512 50.908244, 0.991736 49.656631);396.5984776;0;"""name""=>""AQUIND Interconnector"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/247"", ""status""=>""in permitting""";1;0;-1;0.451658556;2632.710633;1;True;0;0
T20;DE1 2;DE1 0;DC;LINESTRING (6.619451 51.272935, 8.458036 49.235253);228.5978382;0;"""name""=>""HVDC Ultranet"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/254"", ""status""=>""in permitting""";1;0;-1;0;2108.829512;1;True;0;0
T21;GB0 0;FR1 2;DC;LINESTRING (0.596111111111111 51.41972, 2.376776 51.034368);396.5984776;0;"""name""=>""Gridlink"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/285"", ""status""=>""in permitting""";1;0;-1;0.261654285;2659.243574;1;True;0;0
T22;GB0 0;DE1 5;DC;LINESTRING (0.716666666666667 51.44, 8.046524 53.562763);831.6964113;0;"""name""=>""NeuConnect"", ""ref""=>""https://tyndp.entsoe.eu/tyndp2018/projects/projects/309"", ""status""=>""in permitting""";1;0;-1;0.490810766;4072.175261;1;True;0;0
